"RowID","SiteCode","Status","MaleID","FemaleID","Layday","LayMonth","LayYear","ClutchStatus","ClutchSize","HatchStatus","HatchSize","FledgeStatus","FledgeSize","EggLoss","NestLoss"
1,"BSSB_4","N",1182,1480,24,4,1976,"1",4,"1",3,"1",2,"Q","T"
2,"CAGL_1","N",201,1481,24,4,1976,"1",5,"1",4,"1",4,"Q",
3,"DAVN_2","N",1183,198,20,4,1976,"1",6,"1",6,"1",4,,"S"
4,"EKWD","N",197,1482,22,4,1976,"1",6,"1",0,"1",0,"A",
5,"FBOG_1","N",1184,1483,20,5,1976,"3",,"1",4,"1",0,,"S"
6,"FHWD_1","I",1185,1484,3,5,1976,"1",2,"1",0,"1",0,"A",
7,"FHWD_1","R",1186,211,25,5,1976,"1",3,"1",3,"1",2,,"S"
8,"FSBN_1","N",182,1485,22,4,1976,"1",6,"3",,"1",4,,"W"
9,"FSBS_4","N",196,194,30,4,1976,"1",5,"1",0,"1",0,"A",
10,"GAIR_3","N",214,202,3,5,1976,"1",5,"1",0,"1",0,"A",
11,"GRKW","L",1067,1486,16,5,1976,"1",2,"1",0,"1",0,"A",
12,"GRSK_1","O",1068,1487,,,1976,"1",0,"1",0,"1",0,,
13,"GRYD_1","N",209,1488,7,5,1976,"1",5,"1",4,"1",2,"W","W"
14,"JHSN_1","O",1069,1489,,,1976,"1",0,"1",0,"1",0,,
15,"JHSS_2","O",1070,1490,,,1976,"1",0,"1",0,"1",0,,
16,"KIDM","I",1071,1491,25,4,1976,"1",1,"1",0,"1",0,"A",
17,"KIDM","R",1072,208,25,5,1976,"1",4,"1",0,"1",0,"A",
18,"LINL","N",212,1492,16,4,1976,"1",6,"1",2,"1",2,"Q","R"
19,"MAKW","O",1073,1493,,,1976,"1",0,"1",0,"1",0,,
20,"MIDH_1","O",1074,1494,,,1976,"1",0,"1",0,"1",0,,
21,"NTFW_1","N",207,210,5,5,1976,"1",5,"1",3,"1",0,"Q","S"
22,"NWAB_1","N",1187,188,21,4,1976,"1",5,"1",0,"1",0,"A",
23,"OCAS_1","O",1075,1495,,,1976,"1",0,"1",0,"1",0,,
24,"ODAB_2","L",203,1496,10,5,1976,"1",3,"1",0,"1",0,"M",
25,"ODBG_1","O",1188,1497,,,1976,"1",0,"1",0,"1",0,,
26,"OPDM","N",1076,1498,5,5,1976,"1",5,"1",0,"1",0,"A",
27,"POCK_2","N",1189,199,24,4,1976,"1",5,"1",3,"1",1,"Q","T"
28,"RABS_1","N",1190,1499,26,4,1976,"1",5,"1",5,"1",0,,"W"
29,"STKW","O",1077,1500,,,1976,"1",0,"1",0,"1",0,,
30,"TDGL","N",1078,1501,28,4,1976,"1",5,"1",0,"1",0,"A",
31,"THIK_2","N",1079,1502,24,4,1976,"1",6,"1",0,"1",0,"A",
32,"WKSP_1","N",195,1503,21,4,1976,"1",5,"1",0,"1",0,"A",
33,"BKSB_1","N",236,256,30,5,1977,"1",4,"1",0,"1",0,"A",
34,"BSSB_4","N",1191,246,15,5,1977,"1",5,"1",5,"1",5,,
35,"CAGL_2","N",201,245,11,5,1977,"1",5,"1",3,"1",2,"Q","S"
36,"DAVN_1","I",1080,1504,26,4,1977,"1",1,"1",0,"1",0,"A",
37,"DAVN_2","R",265,239,30,4,1977,"1",5,"1",4,"1",3,"O","S"
38,"FBOG_2","N",261,228,3,5,1977,"1",5,"1",5,"1",5,,
39,"FHWD_3","N",271,233,8,5,1977,"1",5,"1",4,"1",3,"Z","S"
40,"FSBN_2","N",182,247,12,5,1977,"1",4,"1",3,"1",2,"Z","S"
41,"FSBS_3","N",196,242,9,5,1977,"1",3,"1",3,"1",2,,"R"
42,"GAIR_3","N",230,249,14,5,1977,"1",5,"1",5,"1",4,,"R"
43,"GRSK_2","N",204,248,9,5,1977,"1",6,"1",6,"1",5,,"R"
44,"GRYD_2","N",1081,1505,,,1977,"1",4,"1",0,"1",0,"A",
45,"JHSN_1","N",235,255,24,5,1977,"1",4,"1",3,"1",3,"Z",
46,"JHSS_2","N",231,250,15,5,1977,"1",5,"1",0,"1",0,"B",
47,"KLKW_2","I",223,222,11,5,1977,"1",1,"1",0,"1",0,"O",
48,"KLKW_1","R",223,222,15,5,1977,"1",4,"1",3,"1",1,"Z","R"
49,"LINT","N",212,87,27,4,1977,"1",5,"1",4,"1",4,"Q",
50,"MIDH_1","N",254,258,27,5,1977,"1",4,"1",4,"1",4,,
51,"MILE_3","N",262,244,25,4,1977,"1",5,"1",4,"1",1,"A","S"
52,"NTFW_2","N",200,1506,17,5,1977,"1",5,"1",0,"1",0,"A",
53,"NWAB_2","N",1082,1507,12,5,1977,"1",3,"1",0,"1",0,"A",
54,"ODAB_1","O",142,86,,,1977,"1",0,"1",0,"1",0,,
55,"ODBG_3","N",226,257,23,5,1977,"1",4,"1",4,"1",4,,
56,"ODHP_1","N",90,1508,6,5,1977,"1",6,"1",6,"1",6,,
57,"POCK_1","I",224,251,11,5,1977,"1",1,"1",0,"1",0,"A",
58,"POCK_3","R",224,251,14,5,1977,"1",6,"1",6,"1",6,,
59,"RABS_3","N",221,240,27,4,1977,"1",5,"1",5,"1",5,,
60,"RCHL","N",225,252,10,5,1977,"1",4,"1",4,"1",4,,
61,"ROOK_1","N",269,266,7,5,1977,"1",5,"1",4,"1",2,"Q","R"
62,"THIK_1","N",243,1509,14,5,1977,"1",5,"1",0,"1",0,"A",
63,"WKSP_1","N",227,259,26,5,1977,"1",4,"1",4,"1",4,,
64,"ASHY","N",268,113,19,4,1978,"1",6,"1",6,"1",6,,
65,"BKSB_1","N",236,228,19,4,1978,"1",6,"1",6,"1",5,,"W"
66,"BSSB_3","N",137,246,26,4,1978,"1",6,"1",4,"1",4,"P",
67,"CAGL_2","N",223,222,23,4,1978,"1",5,"1",5,"1",5,,
68,"CATR","N",1083,1510,17,4,1978,"1",6,"1",6,"1",6,,
69,"DAVN_2","N",123,1511,14,5,1978,"1",3,"1",0,"1",0,"A",
70,"DUMK","O",109,1512,,,1978,"1",0,"1",0,"1",0,,
71,"DUMW","N",142,124,5,5,1978,"1",5,"1",5,"1",1,,"G"
72,"FBOG_1","N",261,248,24,4,1978,"1",5,"1",5,"1",5,,
73,"FHWD_3","N",271,242,19,4,1978,"1",5,"1",4,"1",3,"Q","R"
74,"FIBG","N",271,251,7,5,1978,"1",5,"1",5,"1",5,,
75,"FSBN_2","N",196,247,18,4,1978,"1",5,"1",5,"1",4,,"R"
76,"GAIR_2","I",104,94,3,5,1978,"1",2,"1",0,"1",0,"B",
77,"GAIR_4","R",104,94,10,5,1978,"1",5,"1",5,"1",5,,
78,"GATE_2","Z",311,312,16,5,1978,"1",6,"1",6,"1",6,,
79,"GATE_2","X",2,1513,21,4,1978,"1",6,"3",,"3",,"F",
80,"GLEN_2","Y",1192,1514,10,5,1978,"1",1,"1",0,"1",0,"F",
81,"GRSK2","T",1084,1515,2,6,1978,"1",4,"1",0,"1",0,"A",
82,"GRSK_2","N",226,114,29,4,1978,"1",5,"1",5,"1",4,,"R"
83,"HARE_1","N",1085,101,2,5,1978,"1",6,"1",5,"1",5,"Q",
84,"HART","X",1086,1516,27,4,1978,"1",3,"1",0,"1",0,"F",
85,"JHSS_1","N",263,106,6,5,1978,"1",5,"1",5,"1",5,,
86,"JHSN_2","N",254,118,26,4,1978,"1",5,"1",5,"1",5,,
87,"KLKW_1","N",119,121,4,5,1978,"1",5,"1",4,"1",2,"O","S"
88,"LANG","N",322,310,14,5,1978,"1",5,"1",4,"1",4,"Q",
89,"LINL","N",212,87,19,4,1978,"1",7,"1",6,"1",6,"Z",
90,"MIDH_2","T",1087,139,18,5,1978,"1",5,"1",1,"1",1,"Q",
91,"MILE_1","N",262,244,16,4,1978,"1",5,"1",4,"1",3,"Q","T"
92,"MKWD","N",1088,1517,20,5,1978,"1",3,"1",0,"1",0,"A",
93,"NDHP","U",1089,1518,7,6,1978,"1",1,"1",0,"1",0,"F",
94,"NDPL","T",267,110,7,5,1978,"1",6,"1",5,"1",3,"Q","T"
95,"NTFW_2","N",111,117,22,4,1978,"1",6,"1",6,"1",6,,
96,"OCAS_2","N",105,252,1,5,1978,"1",5,"1",5,"1",5,,
97,"ODBG1_2","N",132,112,16,4,1978,"1",6,"1",6,"1",6,,
