"RowID","StudyArea","CountDate","AgeSex","Count"
1,"A","24/10/1980, 00.00.00","AM",1
2,"A","24/10/1980, 00.00.00","AF",1
3,"A","24/10/1980, 00.00.00","BB",4
4,"A","24/10/1980, 00.00.00",,1
5,"A","05/11/1980, 00.00.00","BB",5
6,"A","05/11/1980, 00.00.00",,3
7,"A","13/11/1980, 00.00.00","AM",2
8,"A","13/11/1980, 00.00.00","BB",7
9,"A","13/11/1980, 00.00.00",,1
10,"A","27/11/1980, 00.00.00","AM",1
11,"A","27/11/1980, 00.00.00","JM",1
12,"A","27/11/1980, 00.00.00","JF",1
13,"A","27/11/1980, 00.00.00","BB",2
14,"A","27/11/1980, 00.00.00",,3
15,"A","05/12/1980, 00.00.00","BB",4
16,"A","10/12/1980, 00.00.00","JM",1
17,"A","10/12/1980, 00.00.00","BB",5
18,"A","06/01/1981, 00.00.00","BB",6
19,"A","06/01/1981, 00.00.00",,4
20,"A","14/01/1981, 00.00.00","BB",5
21,"A","14/01/1981, 00.00.00",,1
22,"A","27/01/1981, 00.00.00","AM",1
23,"A","27/01/1981, 00.00.00","AF",1
24,"A","27/01/1981, 00.00.00","JM",2
25,"A","27/01/1981, 00.00.00","BB",6
26,"A","27/01/1981, 00.00.00",,1
27,"A","05/02/1981, 00.00.00","BB",2
28,"A","16/02/1981, 00.00.00","AM",2
29,"A","16/02/1981, 00.00.00","JF",2
30,"A","16/02/1981, 00.00.00","BB",2
31,"A","16/02/1981, 00.00.00",,2
32,"A","24/02/1981, 00.00.00","AM",1
33,"A","24/02/1981, 00.00.00","JM",1
34,"A","24/02/1981, 00.00.00","BB",2
35,"A","24/02/1981, 00.00.00",,3
36,"A","06/03/1981, 00.00.00","AM",1
37,"A","06/03/1981, 00.00.00","JM",1
38,"A","06/03/1981, 00.00.00","BB",3
39,"A","06/03/1981, 00.00.00",,2
40,"A","18/03/1981, 00.00.00","AM",1
41,"A","18/03/1981, 00.00.00","JF",1
42,"A","18/03/1981, 00.00.00",,1
43,"A","29/03/1981, 00.00.00","AM",2
44,"A","29/03/1981, 00.00.00","JM",1
45,"A","29/03/1981, 00.00.00","BB",2
46,"A","29/03/1981, 00.00.00",,3
47,"A","10/04/1981, 00.00.00","JM",1
48,"A","10/04/1981, 00.00.00","JF",2
49,"A","10/04/1981, 00.00.00","BB",1
50,"A","16/09/1981, 00.00.00",,2
51,"A","24/09/1981, 00.00.00","JM",2
52,"A","24/09/1981, 00.00.00",,1
53,"A","07/10/1981, 00.00.00","AF",2
54,"A","07/10/1981, 00.00.00","JM",1
55,"A","07/10/1981, 00.00.00","JF",1
56,"A","07/10/1981, 00.00.00","BB",4
57,"A","07/10/1981, 00.00.00",,2
58,"A","16/10/1981, 00.00.00","AM",1
59,"A","16/10/1981, 00.00.00","AF",1
60,"A","16/10/1981, 00.00.00","JM",2
61,"A","16/10/1981, 00.00.00","BB",9
62,"A","16/10/1981, 00.00.00",,3
63,"A","02/11/1981, 00.00.00","AM",1
64,"A","02/11/1981, 00.00.00","AF",1
65,"A","02/11/1981, 00.00.00","JM",2
66,"A","02/11/1981, 00.00.00","BB",8
67,"A","02/11/1981, 00.00.00",,1
68,"A","09/11/1981, 00.00.00","AM",2
69,"A","09/11/1981, 00.00.00","JM",1
70,"A","09/11/1981, 00.00.00","BB",8
71,"A","09/11/1981, 00.00.00",,2
72,"A","18/11/1981, 00.00.00","AM",2
73,"A","18/11/1981, 00.00.00","JM",2
74,"A","18/11/1981, 00.00.00","BB",5
75,"A","18/11/1981, 00.00.00",,1
76,"A","26/11/1981, 00.00.00","AM",4
77,"A","26/11/1981, 00.00.00","AF",3
78,"A","26/11/1981, 00.00.00","JM",1
79,"A","26/11/1981, 00.00.00","BB",4
80,"A","26/11/1981, 00.00.00",,1
81,"A","07/12/1981, 00.00.00","AM",3
82,"A","07/12/1981, 00.00.00","AF",1
83,"A","07/12/1981, 00.00.00","JM",1
84,"A","07/12/1981, 00.00.00","BB",3
85,"A","07/12/1981, 00.00.00",,2
86,"A","23/12/1981, 00.00.00","AF",1
87,"A","23/12/1981, 00.00.00","JM",1
88,"A","23/12/1981, 00.00.00","BB",2
89,"A","23/12/1981, 00.00.00",,3
90,"A","09/01/1982, 00.00.00","AF",1
91,"A","09/01/1982, 00.00.00","JM",2
92,"A","09/01/1982, 00.00.00","BB",3
93,"A","09/01/1982, 00.00.00",,2
94,"A","11/01/1982, 00.00.00","AM",3
95,"A","11/01/1982, 00.00.00","AF",3
96,"A","11/01/1982, 00.00.00","JM",1
97,"A","11/01/1982, 00.00.00","BB",6
98,"A","11/01/1982, 00.00.00",,1
99,"A","21/01/1982, 00.00.00","AM",2
100,"A","21/01/1982, 00.00.00","AF",2
101,"A","21/01/1982, 00.00.00","JM",3
102,"A","21/01/1982, 00.00.00","BB",3
103,"A","29/01/1982, 00.00.00","AM",1
104,"A","29/01/1982, 00.00.00","AF",2
105,"A","29/01/1982, 00.00.00","JM",1
106,"A","29/01/1982, 00.00.00","BB",4
107,"A","04/02/1982, 00.00.00","AM",3
108,"A","04/02/1982, 00.00.00","AF",3
109,"A","04/02/1982, 00.00.00","JM",1
110,"A","04/02/1982, 00.00.00","BB",2
111,"A","04/02/1982, 00.00.00",,2
112,"A","15/02/1982, 00.00.00","AM",3
113,"A","15/02/1982, 00.00.00","AF",2
114,"A","15/02/1982, 00.00.00","JM",1
115,"A","15/02/1982, 00.00.00","BB",3
116,"A","15/02/1982, 00.00.00",,2
117,"A","25/02/1982, 00.00.00","AM",1
118,"A","25/02/1982, 00.00.00","AF",2
119,"A","25/02/1982, 00.00.00","JM",2
120,"A","25/02/1982, 00.00.00","BB",7
121,"A","25/02/1982, 00.00.00",,2
122,"A","08/03/1982, 00.00.00","AM",3
123,"A","08/03/1982, 00.00.00","AF",1
124,"A","08/03/1982, 00.00.00","JM",2
125,"A","08/03/1982, 00.00.00","BB",6
126,"A","17/03/1982, 00.00.00","AF",1
127,"A","17/03/1982, 00.00.00","JM",1
128,"A","17/03/1982, 00.00.00","BB",5
129,"A","17/03/1982, 00.00.00",,2
130,"A","25/03/1982, 00.00.00","AM",4
131,"A","25/03/1982, 00.00.00","AF",1
132,"A","25/03/1982, 00.00.00","JM",1
133,"A","25/03/1982, 00.00.00",,1
134,"A","09/04/1982, 00.00.00","AM",2
135,"A","09/04/1982, 00.00.00","AF",1
136,"A","09/04/1982, 00.00.00","JM",2
