"RowID","StudyArea","WinterYear","Season","Nseen","Kests","Adults","Juvs","Voles","Mice","Shrews","Temp","SnowDays","Rain"
1,"A",1980,"A",8.3,48.7,7.4,29.5,,,,10,0.7,42
2,"A",1980,"W",6.8,46,4.3,32.4,,,,5.1,2.3,46
3,"A",1980,"S",5.5,43.8,8,23.9,15.7,0,2.8,9.7,0.5,52
4,"A",1981,"A",12.5,56.2,12.7,36,14,5.2,2.3,10.3,0,54
5,"A",1981,"W",10.3,52.4,18.6,25.9,6.3,0.2,0.3,3.3,2.9,41
6,"A",1981,"S",6.7,46,15.6,24.4,4.4,0.4,0.4,10.2,0,37
7,"A",1982,"A",18.7,67.3,13.4,47.3,5.2,6.8,1.3,11,0,73
8,"A",1982,"W",13.9,58.7,18.7,36.9,3.2,2.7,0.2,4.6,1.9,36
9,"A",1982,"S",7.5,47.3,28.4,14.7,0.8,0.4,0.4,8.9,1.3,93
10,"A",1983,"A",11.9,55.1,15.3,31.2,6,2.6,1.2,10.8,0,43
11,"A",1983,"W",11.6,54.6,22.2,29.7,4.5,6.7,0.3,4.2,1.9,42
12,"A",1983,"S",8.8,49.7,27.1,19.2,1.7,0,0,8.5,0.5,36
13,"A",1984,"A",14.7,60.1,26,33.5,9.8,4.3,0.7,11.3,0,66
14,"A",1984,"W",11.5,54.5,24.9,29.6,5.3,0.7,0.2,3,5,33
15,"A",1984,"S",11,53.6,27.6,26,1.8,0,0,9.9,0.3,55
16,"A",1985,"A",10.8,53.1,21,32.1,7.2,9.2,1,10.1,1.2,25
17,"A",1985,"W",12.3,55.8,35.3,20.5,4.5,2.5,0.3,3.4,4.6,49
18,"A",1985,"S",6.8,46.2,37.2,9,5.6,0.7,0.9,9,1.5,64
19,"A",1986,"A",12.8,56.8,19.5,30.2,7.4,4.2,0.2,10.1,0,48
20,"A",1986,"W",8.3,48.7,20.2,21.9,2.3,0,0,3.5,4.9,38
21,"A",1986,"S",7.8,47.9,28.6,16.3,2.9,0.3,0.3,10.5,0,44
22,"A",1987,"A",7.3,47.1,8.6,29.9,13.4,4.1,1.3,10.2,0,71
23,"A",1987,"W",10.8,53.3,19.7,25.4,2.2,1.5,0,5.6,2.4,49
24,"A",1987,"S",7.8,47.9,31.9,9.8,4.2,0,0,10.2,0.5,41
25,"A",1988,"A",16.4,63.2,21.6,33.1,9,5.6,0.8,9.9,0.7,34
26,"A",1988,"W",20,69.6,23.2,34.2,10.5,1.8,0.8,6.6,0.5,27
27,"A",1988,"S",12.3,55.8,26.2,22.8,8.5,0.7,3.8,9.7,1.5,56
28,"M",1980,"A",6,61.3,17.9,33.2,,,,9.7,1.3,60
29,"M",1980,"W",4.9,49.5,26.6,16.5,8.4,0,1.2,4.8,4.8,54
30,"M",1980,"S",6.4,65.8,42.4,13.2,17.8,0,4.3,9.2,1,76
31,"M",1981,"A",5,50.8,13.5,32.2,10.8,0.5,2.7,9.7,0.7,57
32,"M",1981,"W",4.7,47.3,33.8,13.5,5.9,0,0.4,3.1,5,54
33,"M",1981,"S",5,50.8,40.6,6.8,2.8,0,1,9.5,0,23
34,"M",1982,"A",5.7,58.3,20.4,32.1,9.4,0.9,0.9,10.3,0,62
35,"M",1982,"W",5,50.8,31.7,19,6.6,1.1,0.6,4.2,3.5,39
36,"M",1982,"S",4.8,48.7,24.3,20.3,4,0.3,1.9,8.4,2,92
37,"M",1983,"A",7,71.8,38.1,27.8,17.7,1.9,2,10.3,0,46
38,"M",1983,"W",5.4,55.3,29.1,24.7,6.6,0.3,0.1,3.8,3.3,56
39,"M",1983,"S",6,61.3,40.9,14.3,4.9,0,0.7,8.2,0.5,32
40,"M",1984,"A",5.3,53.8,21.8,32,15.6,1.4,1.9,10.9,0,64
41,"M",1984,"W",4.3,43.3,20.2,23.1,4.2,1,0.2,2.5,6.3,35
42,"M",1984,"S",4.8,49,38.9,10.1,2.6,0.1,1.1,9.3,0.5,58
43,"M",1985,"A",6,61.3,33.2,28.1,22.9,1.3,2.4,9.5,1,36
44,"M",1985,"W",5.3,53.4,28,25.4,9.3,0.3,0.4,2.9,7,64
45,"M",1985,"S",3.8,38.5,30.2,8.4,5.9,0.1,1.4,8.6,2,65
46,"M",1986,"A",3.3,33.3,23.3,10,9.7,0.4,1.3,9.5,0,46
47,"M",1986,"W",4,40.3,25.2,15.1,3.1,0,0,3.1,6.8,46
48,"M",1986,"S",1.2,10.9,5.4,5.4,4.1,0,0.7,9.9,0,48
49,"M",1987,"A",6.8,69.2,10.2,46.1,20.1,1.6,0.3,9.5,0,67
50,"M",1987,"W",5.8,59.5,23.8,22.1,6.2,0.2,0.2,5.3,2.8,59
51,"M",1987,"S",4.4,44.5,26.3,14.2,3.5,0.2,0.5,9.5,0.5,29
52,"M",1988,"A",8.6,88.6,39.1,45.3,10.4,1.2,0.8,9.3,0.3,37
53,"M",1988,"W",8.3,84.9,36,36,9.5,1,0.8,6.2,0,33
54,"M",1988,"S",6.4,65.5,32.7,26.6,7.7,0,4.5,9.1,0,67
