"KestrelID","MarkedBird","RingLetters","RingNo","Sex","AgeStatus","HatchYear"
1,1,,11110,"M","2",1982
2,1,,11112,"M","1",
3,1,,11113,"M","2",1978
4,1,,11114,"F","2",1978
5,1,,11115,"F","2",1978
6,1,,11116,"F","2",1980
7,1,,11117,"M","2",1980
8,1,,11118,"M","1",
9,1,,11119,"F","2",1980
10,1,,11222,"F","2",1982
11,1,,19800,"F","2",1979
12,1,,19801,"M","2",1979
13,1,,19802,"M","1",
14,1,,19803,"F","2",1979
15,1,,19804,"M","1",
16,1,,19805,"M","1",
17,1,,19806,"M","2",1979
18,1,,19807,"M","1",
19,1,,19808,"M","1",
20,1,,19809,"F","1",
21,1,,23154,"F","1",
22,1,,29044,"F","2",1987
23,1,,44441,"F","2",1980
24,1,,44442,"F","2",1980
25,1,,44443,"M","2",1980
26,1,,44444,"F","2",1980
27,1,,44445,"M","2",1980
28,1,,80011,"M","2",1980
29,1,,80014,"M","2",1980
30,1,,81001,"M","1",
31,1,,81002,"M","1",
32,1,,81003,"M","2",1980
33,1,,81011,,"2",1981
34,1,,81012,,"1",
35,1,,82001,"M","2",1981
36,1,,82002,"M","2",1981
37,1,,82003,,"2",1981
38,1,,83001,,"2",1982
39,1,,83002,,"2",1982
40,1,,83003,"M","2",1982
41,1,,83004,,"2",1982
42,1,,83011,"M","2",1982
43,1,,83012,"M","2",1982
44,1,,84001,,"2",1983
45,1,,84002,,"2",1983
46,1,,85001,"M","1",
47,1,,85002,"M","1",
48,1,,85003,"M","2",1985
49,1,,85004,"M","2",1985
50,1,,90693,"F","2",1987
51,1,,99990,"M","1",
52,1,,99991,"F","1",
53,1,,99992,"F","1",
54,1,,99993,"M","2",1977
55,1,,99994,"M","1",
56,1,,99995,,"2",1978
57,1,,99996,,"2",1978
58,1,,99997,,"2",1978
59,1,,99998,,"2",1978
60,1,"EB",1629,"F","1",
61,1,"EB",1648,"M","1",
62,1,"EB",1649,"M","2",1973
63,1,"EB",1650,"M","2",1973
