"RowID","KestrelID","Date","Condition","Weight","Chord","StudyArea","MoultPrimaries","MoultTail","MoultHead","MoultBack","MoultRump","MoultUTC","BuffSize","FlankFeathers","ColHead","ColRump","ColUTC","ColTail","BarWidth","BarGap","Parasites"
154,641,"26/04/1985, 00.00.00","2",181,241,"A",,,,,,,,,"2","1","1","1",,,
155,642,"11/05/1984, 00.00.00","2",264,256,"P",0,0,,,,,,,,,,,,,
156,642,"14/03/1985, 00.00.00","2",228,255,"P",,,,,,,,,,,,,,,
157,643,"11/05/1984, 00.00.00","3",213,255,"P",0,0,,,,,,,,,,,,,
158,644,"11/05/1984, 00.00.00","2",,250,"P",0,0,,,,,0,"4","1","1","1","1","0",,
159,645,"15/05/1984, 00.00.00","4",329,262,"A",0,0,,,,,2,"4",,"1","1","5","N",,
160,645,"22/04/1986, 00.00.00","3",290,259,"A",,,,,,,1,"5","5","1","2","4","3",7,0
161,646,"15/05/1984, 00.00.00","3",294,256,"A",0,0,,,,,0,"4",,"2","2","4","S",,
162,647,"17/05/1984, 00.00.00","2",236,254,"A",1,0,,,,,1,"4",,,,,,,
163,648,"18/05/1984, 00.00.00","2",254,258,"A",2,0,,,,,1,"4",,"2","2","5","S",,
164,649,"21/05/1984, 00.00.00","2",281,270,"A",1,0,,"3","2","2",3,"3","5","5","5","5","6",6,
165,650,"21/05/1984, 00.00.00","2",270,254,"A",0,0,,,,,1,"4","5","3","3","5","S",,
166,651,"21/05/1984, 00.00.00","2",258,248,"A",0,0,,,,,3,"2",,,,"5","3",5,
167,652,"21/05/1984, 00.00.00","3",278,257,"A",0,0,,,,,1,"4",,"1","1","1","N",,
168,652,"14/06/1984, 00.00.00","2",256,257,"A",0,0,,,,,,,,,,,,,
169,653,"23/05/1984, 00.00.00","2",258,250,"M",0,0,,,,,1,"4",,"1","1","2","S",,
170,654,"29/05/1984, 00.00.00","3",298,261,"A",0,0,,,,,1,"4",,"2","2","5","N",,
171,654,"20/08/1984, 00.00.00","2",234,260,"A",24,7,,,,,,,,,,,,,
172,655,"29/05/1984, 00.00.00","2",206,244,"A",0,0,,,,,1,"4","2","1","1","1","0",,
173,656,"31/05/1984, 00.00.00","3",260,241,"A",0,0,,,,,1,"4",,"2","2","2","S",,
174,657,"31/05/1984, 00.00.00","2",266,264,"A",3,0,,,"2","2",3,"3",,"5","5","5","6",6,
175,658,"04/06/1984, 00.00.00","3",310,257,"M",3,0,,,,,1,"4",,,,,,,
176,658,"15/06/1984, 00.00.00","2",224,257,"M",4,0,,,,,,,,,,,,,
177,659,"19/03/1985, 00.00.00","2",187,246,"A",,,"1","2","2","1",5,"2","5","1","1","3","4",7,0
178,660,"06/06/1984, 00.00.00","2",197,250,"A",0,0,,,,,1,"4","2","1","1","1","H",,
179,661,"06/06/1984, 00.00.00","2",214,247,"A",3,0,,"4","3","3",3,"2","5","5","5","5","3",5,
180,661,"12/03/1986, 00.00.00","3",251,243,"A",,,,,,,1,"5","5","4","4","5","3",8,0
181,662,"06/06/1984, 00.00.00","2",265,260,"A",5,0,,"3","2","1",3,"1",,"5","5","5","5",5,
182,663,"07/06/1984, 00.00.00","2",278,255,"M",0,0,,,,,0,"4",,"2","2","1","N",,
183,663,"28/11/1984, 00.00.00","2",244,254,"M",,,,,,,,,,,,,,,0
184,664,"08/06/1984, 00.00.00","3",265,247,"A",0,0,,,,,1,"4",,"1","1","5","S",,
185,665,"08/06/1984, 00.00.00","2",286,248,"A",0,0,"3","1","1","3",3,"5","5","5","5","5","5",8,
186,666,"08/06/1984, 00.00.00","2",253,259,"A",8,0,,,,,1,"4",,"1","1","3","N",,
187,667,"08/06/1984, 00.00.00","1",239,252,"A",5,0,,"4","1","2",3,"1","5","5","5","5","5",8,
188,668,"01/10/1984, 00.00.00",,200,250,"W",,,,,,,,,,,,,,,
189,669,"09/10/1984, 00.00.00",,184,244,"W",,,,,,,,,,,,,,,
190,670,"10/10/1984, 00.00.00",,202,252,"W",,,,,,,,,,,,,,,
191,671,"19/10/1984, 00.00.00",,156,249,"W",,,,,,,,,,,,,,,
192,672,"19/10/1984, 00.00.00",,179,244,"W",,,,,,,,,,,,,,,
193,673,"26/04/1985, 00.00.00",,164,243,"W",,,,,,,,,,,,,,,
194,674,"18/11/1985, 00.00.00",,183,243,"M",,,,,,,,,,,,,,,
195,675,"21/04/1986, 00.00.00",,200,247,"W",,,,,,,,,,,,,,,
196,676,"23/04/1987, 00.00.00","2",192,236,"A",,,,,,,2,"5","2","1","1","1",,,0
197,677,"18/06/1984, 00.00.00","3",173,254,"A",5,0,,,,,2,"4","1","1","1","1",,,
198,678,"22/06/1984, 00.00.00","2",217,243,"A",2,0,,,,,1,"4","5","3","3","3","K",,
199,679,"29/11/1984, 00.00.00","2",192,240,"M",,,"2","2","2","1",3,"1","5","5","1","2","2",9,
200,680,"24/09/1984, 00.00.00","1",208,258,"A",,,"1","2","1","1",3,"1","5","5","5","5","3",7,3
201,681,"25/09/1984, 00.00.00","1",162,247,"A",,,"1","2","2","1",5,"2",,"3","3","5","3",9,0
202,681,"24/04/1986, 00.00.00","2",196,239,"A",,,,,,,2,"5","3","1","1","1","S",,0
203,682,"26/06/1984, 00.00.00","1",180,232,"A",3,1,"1","1","2","2",3,"1","5","4","4","3","3",8,
204,683,"18/03/1986, 00.00.00","2",187,239,"M",,,,,,,1,"5","3","1","1","1","H",,0
205,684,"16/08/1984, 00.00.00","2",176,,"A",34,21,"1","2","2","2",,"4","2","1","1","1",,,
206,685,"16/08/1984, 00.00.00","2",231,248,"A",18,8,"2","2","2","1",4,,"5","1","1","1","S",,
