"RowID","SiteCode","NestType","NestDetail","Exposure"
1,"CROSSR","1","1",
2,"TICKEN","3","1","2"
3,"TICPKB","8","46","1"
4,"TICKPK","2","1","1"
5,"MILLF1","2","1","1"
6,"MILLF2","4","1","2"
7,"TICKDR","2","2","1"
8,"TICLDN","1","4","2"
9,"TICLFM","1","1",
10,"TICLDW","4","3",
11,"TICKSL","1","1","3"
12,"GRIFTK","1","1","2"
13,"SYKEGL","1","6","4"
14,"TROUTH","3","1","4"
15,"EMPSTA","2","1","1"
16,"EMPWIL","3","1","4"
17,"SHACK1","0","1",
18,"SHAKSN","0","1",
19,"SHACK2","1","1","4"
20,"WILDLW","3","1","3"
21,"WILDLD","1","1","1"
22,"WILDLE","2","5","1"
23,"WILDE2","1","5","2"
24,"SCOUTH","1","1","1"
25,"HUNTF1","1","2","1"
26,"HUNTF2","3","1","4"
27,"HUNTF3","3","1","4"
28,"HUNTF4","1","1","1"
29,"TINROK","4","1","3"
30,"NORMLW","8","42","1"
31,"NORMPK","8","42","1"
32,"NEWOOD","8","42","1"
33,"ELLIWP","3","1","4"
34,"GRATQY","1","1","5"
35,"FLINTS","1","1","2"
36,"OHLBAD","1","3","5"
37,"OHLBRN","6","21","2"
38,"OHLOWL","1","1",
39,"LANESF","1","3","3"
40,"LANESB","8","41","2"
41,"KETQYB","8","46","2"
42,"KETQYA","3","1","3"
43,"PITLAN","1","1","3"
44,"KETPAT","3","1","2"
45,"KETFPA","1","1","2"
46,"KETFPE","3","3","3"
47,"KEBULL","4","1","3"
48,"KETWML","6","21","1"
49,"MAKEYS","4","1","2"
50,"WATSPY","3","1","5"
51,"WWAREN","1","5","1"
52,"RAFSWK","3","1","3"
53,"LYNDBA","8","43","1"
54,"TOPHLA","1","1","1"
55,"TOPHLO","1","2","1"
56,"LYNWOD","1","2","1"
57,"LYNDSH","3","1","2"
58,"WINGRK","3","1","3"
59,"GGBARB","8","43","1"
60,"GGBARE","3","1","4"
61,"GGBARW","3","1","3"
62,"WINGRB","8","46","1"
63,"WINGRA","3","1","4"
64,"SEWVAS","4","1","4"
65,"SEWVEN","1","3","1"
66,"GLEBEB","1","1","1"
67,"GLEBES","5","11","2"
68,"GLEBEA","1","1","1"
69,"LUFFPS","4","6","5"
70,"LUFFPW","3","5",
71,"LUFPOL","8","46","1"
72,"QFMELM","1","3","1"
73,"QFMJAC","2","3","2"
74,"QFMASH","4","1","4"
75,"QFMBOX","8","45","3"
76,"CUCKLC","5","11","3"
77,"CUCKLA","3","1","4"
78,"CUCKLB","6","21","1"
79,"CUCKLE","3","1","5"
80,"BARROB","8","43","1"
81,"BEAVBK","1","1","1"
82,"BEAVBA","0","0",
83,"BEAVBB","6","24","1"
84,"COLLWB","6","24","1"
85,"COLLWE","3","3","3"
86,"COLWTS","6","24","5"
87,"COLFPN","1","1","1"
88,"COLFPA","3","1","3"
89,"COLFPB","3","1","2"
90,"COLFPC","3","1","4"
91,"HOPKQY","7","32","1"
92,"FOXCOV","8","46","1"
93,"RADIOH","6","21","4"
94,"SLUFWM","8","45","1"
95,"SETTFM","8","42","2"
96,"PILTWT","8","44","3"
97,"PILTIP","8","43","2"
98,"WINGBA","8","45","4"
99,"GLASTM","1","3","1"
100,"GLASTB","8","42","2"
