"RowID","SiteCode","Year","Usability","UsabilityDetails"
1,"CROSSR",1981,"6","20"
2,"CROSSR",1982,"3","20"
3,"CROSSR",1983,"3","20"
4,"CROSSR",1984,"3","20"
5,"CROSSR",1985,"3","20"
6,"CROSSR",1986,"3","20"
7,"CROSSR",1987,"3","20"
8,"CROSSR",1988,"1","6"
9,"CROSSR",1989,"1","6"
10,"TICKEN",1981,"3","20"
11,"TICKEN",1982,"3","20"
12,"TICKEN",1983,"7","20"
13,"TICKEN",1984,"3","20"
14,"TICKEN",1985,"3","20"
15,"TICKEN",1986,"1","7"
16,"TICKEN",1987,"1","7"
17,"TICKEN",1988,"1","7"
18,"TICKEN",1989,"1","7"
19,"TICPKB",1981,"3","20"
20,"TICPKB",1982,"3","20"
21,"TICPKB",1983,"3","20"
22,"TICPKB",1984,"3","20"
23,"TICPKB",1985,"3","20"
24,"TICPKB",1986,"2","17"
25,"TICPKB",1987,"2","17"
26,"TICPKB",1988,"3","20"
27,"TICPKB",1989,"3","20"
28,"TICKPK",1981,"3","20"
29,"TICKPK",1982,"3","20"
30,"TICKPK",1983,"7","20"
31,"TICKPK",1984,"2","16"
32,"TICKPK",1985,"2","16"
33,"TICKPK",1986,"3","20"
34,"TICKPK",1987,"7","20"
35,"TICKPK",1988,"7","20"
36,"TICKPK",1989,"3","20"
37,"MILLF1",1981,"2","16"
38,"MILLF1",1982,"0","0"
39,"MILLF1",1983,"7","20"
40,"MILLF1",1984,"1","6"
41,"MILLF1",1985,"1","6"
42,"MILLF1",1986,"1","6"
43,"MILLF1",1987,"1","6"
44,"MILLF1",1988,"1","6"
45,"MILLF1",1989,"1","6"
46,"MILLF2",1981,"3","20"
47,"MILLF2",1982,"0","0"
48,"MILLF2",1983,"3","20"
49,"MILLF2",1984,"7","20"
50,"MILLF2",1985,"3","20"
51,"MILLF2",1986,"7","20"
52,"MILLF2",1987,"3","20"
53,"MILLF2",1988,"3","20"
54,"MILLF2",1989,"3","20"
55,"TICKDR",1981,"6","20"
56,"TICKDR",1982,"2","18"
57,"TICKDR",1983,"2","18"
58,"TICKDR",1984,"3","20"
59,"TICKDR",1985,"5","20"
60,"TICKDR",1986,"3","20"
61,"TICKDR",1987,"4","20"
62,"TICKDR",1988,"3","20"
63,"TICKDR",1989,"3","20"
64,"TICLDN",1981,"3","20"
65,"TICLDN",1982,"3","20"
66,"TICLDN",1983,"2","14"
67,"TICLDN",1984,"3","20"
68,"TICLDN",1985,"3","20"
69,"TICLDN",1986,"2","16"
70,"TICLDN",1987,"3","20"
71,"TICLDN",1988,"3","20"
72,"TICLDN",1989,"3","20"
73,"TICLFM",1981,"6","20"
74,"TICLFM",1982,"3","20"
75,"TICLFM",1983,"3","20"
76,"TICLFM",1984,"1","7"
77,"TICLFM",1985,"1","7"
78,"TICLFM",1986,"1","7"
79,"TICLFM",1987,"1","7"
80,"TICLFM",1988,"1","7"
81,"TICLFM",1989,"1","7"
82,"TICLDW",1981,"2","11"
83,"TICLDW",1982,"6","20"
84,"TICLDW",1983,"1","7"
85,"TICLDW",1984,"1","7"
86,"TICLDW",1985,"1","7"
87,"TICLDW",1986,"1","7"
88,"TICLDW",1987,"1","7"
89,"TICLDW",1988,"1","7"
90,"TICLDW",1989,"1","7"
91,"TICKSL",1981,"3","20"
92,"TICKSL",1982,"3","20"
93,"TICKSL",1983,"1","1"
94,"TICKSL",1984,"7","20"
95,"TICKSL",1985,"3","20"
96,"TICKSL",1986,"7","20"
97,"TICKSL",1987,"7","20"
98,"TICKSL",1988,"3","20"
99,"TICKSL",1989,"3","20"
100,"GRIFTK",1981,"7","20"
101,"GRIFTK",1982,"2","14"
102,"GRIFTK",1983,"2","14"
103,"GRIFTK",1984,"3","20"
104,"GRIFTK",1985,"3","20"
105,"GRIFTK",1986,"2","11"
106,"GRIFTK",1987,"3","20"
107,"GRIFTK",1988,"1","4"
108,"GRIFTK",1989,"1","4"
109,"SYKEGL",1981,"0","0"
110,"SYKEGL",1982,"3","20"
111,"SYKEGL",1983,"6","20"
112,"SYKEGL",1984,"3","20"
113,"SYKEGL",1985,"3","20"
114,"SYKEGL",1986,"3","20"
115,"SYKEGL",1987,"3","20"
116,"SYKEGL",1988,"3","20"
117,"SYKEGL",1989,"6","24"
118,"TROUTH",1981,"3","20"
119,"TROUTH",1982,"7","20"
120,"TROUTH",1983,"3","20"
121,"TROUTH",1984,"7","20"
122,"TROUTH",1985,"3","20"
123,"TROUTH",1986,"3","20"
124,"TROUTH",1987,"3","20"
125,"TROUTH",1988,"7","20"
126,"TROUTH",1989,"2","14"
127,"EMPSTA",1981,"6","20"
128,"EMPSTA",1982,"3","20"
129,"EMPSTA",1983,"3","20"
130,"EMPSTA",1984,"3","20"
131,"EMPSTA",1985,"7","20"
132,"EMPSTA",1986,"6","20"
133,"EMPSTA",1987,"2","17"
134,"EMPSTA",1988,"3","20"
135,"EMPSTA",1989,"0","0"
136,"EMPWIL",1981,"7","20"
137,"EMPWIL",1982,"3","20"
138,"EMPWIL",1983,"3","20"
139,"EMPWIL",1984,"3","20"
140,"EMPWIL",1985,"6","20"
141,"EMPWIL",1986,"3","20"
142,"EMPWIL",1987,"1","2"
143,"EMPWIL",1988,"1","4"
144,"EMPWIL",1989,"1","4"
145,"SHACK1",1981,"1","7"
146,"SHACK1",1982,"1","7"
147,"SHACK1",1983,"1","7"
148,"SHACK1",1984,"1","7"
149,"SHACK1",1985,"1","7"
150,"SHACK1",1986,"1","7"
151,"SHACK1",1987,"1","7"
