"PelletID","SiteCode","Date","Length","Breadth","Weight","AgeSex"
1,"HOPKQY","21/10/1980, 00.00.00",32,15,1.6,
2,"HOPKQY","21/10/1980, 00.00.00",34,16,1.3,
3,"HOPKQY","21/10/1980, 00.00.00",33,15,1.4,
4,"HOPKQY","21/10/1980, 00.00.00",28,13,0.9,
5,"HOPKQY","21/10/1980, 00.00.00",26,14,0.6,
6,"COLLWB","28/10/1980, 00.00.00",36,16,1.6,
7,"COLLWB","28/10/1980, 00.00.00",28,16,1,
8,"COLLWB","28/10/1980, 00.00.00",20,14,0.5,
9,"COLLWB","28/10/1980, 00.00.00",25,14,0.7,
10,"COLLWB","28/10/1980, 00.00.00",28,13,0.7,
11,"HOPKQY","10/11/1980, 00.00.00",41,17,1.5,
12,"HOPKQY","10/11/1980, 00.00.00",34,16,1.6,
13,"HOPKQY","10/11/1980, 00.00.00",30,14,1,
14,"HOPKQY","10/11/1980, 00.00.00",29,15,0.9,
15,"HOPKQY","10/11/1980, 00.00.00",34,16,1.5,
16,"TIXCHH","10/11/1980, 00.00.00",44,22,1.7,
17,"TIXCHH","10/11/1980, 00.00.00",32,13,0.7,
18,"TIXCHH","10/11/1980, 00.00.00",33,15,1.2,
19,"TIXCHH","10/11/1980, 00.00.00",37,20,1.4,
20,"TIXCHH","10/11/1980, 00.00.00",24,14,0.6,
21,"TIXCHH","10/11/1980, 00.00.00",46,19,1.7,
22,"TIXCHH","10/11/1980, 00.00.00",31,27,1.1,
23,"TIXCHH","10/11/1980, 00.00.00",26,16,1,
24,"TIXCHH","10/11/1980, 00.00.00",34,14,0.8,
25,"TIXCHH","10/11/1980, 00.00.00",34,18,1.2,
26,"TIXCHH","02/12/1980, 00.00.00",34,17,1.5,
27,"TIXCHH","02/12/1980, 00.00.00",36,19,1.4,
28,"TIXCHH","02/12/1980, 00.00.00",27,15,1.2,
29,"TIXCHH","02/12/1980, 00.00.00",30,13,0.9,
30,"TIXCHH","02/12/1980, 00.00.00",29,15,0.7,
31,"WAKTWR","08/01/1981, 00.00.00",36,18,1.1,
32,"WAKTWR","08/01/1981, 00.00.00",36,16,1.6,
33,"WAKTWR","08/01/1981, 00.00.00",36,17,1.6,
34,"WAKTWR","08/01/1981, 00.00.00",35,15,1.8,
35,"WAKTWR","08/01/1981, 00.00.00",24,12,0.8,
36,"ROBARN","08/01/1981, 00.00.00",30,14,0.9,
37,"ROBARN","08/01/1981, 00.00.00",26,13,0.8,
38,"ROBARN","08/01/1981, 00.00.00",25,14,0.8,
39,"ROBARN","08/01/1981, 00.00.00",30,14,1.1,
40,"ROBARN","08/01/1981, 00.00.00",38.1,16,1.1,
41,"TIXCHH","08/01/1981, 00.00.00",32,14,1,"AM"
42,"TIXCHH","08/01/1981, 00.00.00",41,18,1.5,"AM"
43,"TIXCHH","08/01/1981, 00.00.00",28,15,1,"AM"
44,"TIXCHH","08/01/1981, 00.00.00",34,15,1.1,"AM"
45,"TIXCHH","08/01/1981, 00.00.00",32,12,0.9,"AM"
46,"TIXCHH","08/01/1981, 00.00.00",25,12,0.8,"AM"
47,"TIXCHH","08/01/1981, 00.00.00",36,16,1.2,"AM"
48,"TIXCHH","08/01/1981, 00.00.00",27,13,0.6,"AM"
49,"TIXCHH","08/01/1981, 00.00.00",29,16,1.1,"AM"
50,"TIXCHH","08/01/1981, 00.00.00",24,14,0.9,"AM"
51,"WAKOBR","22/01/1981, 00.00.00",38,15,1.1,
52,"WAKOBR","22/01/1981, 00.00.00",31,13,0.9,
53,"WAKOBR","22/01/1981, 00.00.00",40,15,1.6,
54,"WAKOBR","22/01/1981, 00.00.00",30,14,0.9,
55,"WAKOBR","22/01/1981, 00.00.00",39,16,1.2,
56,"MORCWM","30/01/1981, 00.00.00",36,16,1.7,"AF"
57,"MORCWM","30/01/1981, 00.00.00",35,15,1.4,"AF"
58,"MORCWM","30/01/1981, 00.00.00",39,16,1.7,"AF"
59,"MORCWM","30/01/1981, 00.00.00",34,15,1.4,"AF"
60,"MORCWM","30/01/1981, 00.00.00",34,15,1.4,"AF"
61,"MORCWM","30/01/1981, 00.00.00",29,16,1.7,"AF"
62,"MORCWM","30/01/1981, 00.00.00",28,15,1.6,"AF"
63,"MORCWM","30/01/1981, 00.00.00",28,13,1.3,"AF"
64,"MORCWM","30/01/1981, 00.00.00",28,16,0.8,"AF"
65,"MORCWM","30/01/1981, 00.00.00",44,16,1.6,"AF"
66,"ROBARN","16/02/1981, 00.00.00",30,13,0.8,
67,"ROBARN","16/02/1981, 00.00.00",30,16,1.2,
68,"ROBARN","16/02/1981, 00.00.00",35,14,0.9,
69,"ROBARN","16/02/1981, 00.00.00",31,14,0.8,
70,"ROBARN","16/02/1981, 00.00.00",26,14,0.9,
71,"ROBARN","16/02/1981, 00.00.00",25,14,0.8,
72,"ROBARN","16/02/1981, 00.00.00",34,15,1.5,
73,"ROBARN","16/02/1981, 00.00.00",24,14,0.6,
74,"ROBARN","16/02/1981, 00.00.00",31,13,0.7,
75,"ROBARN","16/02/1981, 00.00.00",28,15,0.7,
76,"TIXCHH","16/02/1981, 00.00.00",28,13,0.9,"AM"
77,"TIXCHH","16/02/1981, 00.00.00",25,13,0.9,"AM"
78,"TIXCHH","16/02/1981, 00.00.00",33,14,1,"AM"
79,"TIXCHH","16/02/1981, 00.00.00",30,14,1,"AM"
80,"TIXCHH","16/02/1981, 00.00.00",28,18,1.8,"AM"
81,"MORCWM","16/02/1981, 00.00.00",34,15,1.6,"AF"
82,"MORCWM","16/02/1981, 00.00.00",30,15,1.8,"AF"
83,"MORCWM","16/02/1981, 00.00.00",33,14,1.4,"AF"
84,"MORCWM","16/02/1981, 00.00.00",33,14,1.5,"AF"
85,"MORCWM","16/02/1981, 00.00.00",36,16,1.5,"AF"
86,"KETWML","18/02/1981, 00.00.00",33,14,0.7,
87,"KETWML","18/02/1981, 00.00.00",29,16,0.9,
88,"KETWML","18/02/1981, 00.00.00",26,14,0.9,
89,"KETWML","18/02/1981, 00.00.00",40,17,1.3,
90,"KETWML","18/02/1981, 00.00.00",27,13,0.7,
91,"TIXCHH","16/03/1981, 00.00.00",29,17,1.4,"AM"
92,"TIXCHH","16/03/1981, 00.00.00",31,16,1.3,"AM"
93,"TIXCHH","16/03/1981, 00.00.00",36,16,1.6,"AM"
94,"TIXCHH","16/03/1981, 00.00.00",31,15,1,"AM"
95,"TIXCHH","16/03/1981, 00.00.00",30,15,1.6,"AM"
96,"ROBARN","16/03/1981, 00.00.00",26,12,0.7,
97,"ROBARN","16/03/1981, 00.00.00",31,13,0.6,
98,"ROBARN","16/03/1981, 00.00.00",31,13,1.2,
99,"ROBARN","16/03/1981, 00.00.00",35,15,1.1,
100,"ROBARN","16/03/1981, 00.00.00",24,13,0.8,
101,"MORCWM","16/03/1981, 00.00.00",41,16,1.8,"AF"
102,"MORCWM","16/03/1981, 00.00.00",36,15,1.9,"AF"
103,"MORCWM","16/03/1981, 00.00.00",32,16,1,"AF"
104,"MORCWM","16/03/1981, 00.00.00",31,15,1.6,"AF"
105,"MORCWM","16/03/1981, 00.00.00",34,15,1.4,"AF"
106,"MORCWM","16/03/1981, 00.00.00",30,15,1.1,"AF"
107,"MORCWM","16/03/1981, 00.00.00",32,16,1.2,"AF"
108,"MORCWM","16/03/1981, 00.00.00",28,14,0.9,"AF"
109,"MORCWM","16/03/1981, 00.00.00",34,15,1.8,"AF"
110,"MORCWM","16/03/1981, 00.00.00",38,15,0.9,"AF"
111,"DYKESH","19/03/1981, 00.00.00",26,13,0.9,
112,"DYKESH","19/03/1981, 00.00.00",21,13,0.7,
113,"DYKESH","19/03/1981, 00.00.00",25,13,0.8,
114,"DYKESH","19/03/1981, 00.00.00",26,12,0.7,
115,"DYKESH","19/03/1981, 00.00.00",28,14,0.7,
116,"NEWBAR","19/03/1981, 00.00.00",44,16,2.1,
117,"NEWBAR","19/03/1981, 00.00.00",27,14,0.7,
118,"NEWBAR","19/03/1981, 00.00.00",25,16,1.1,
119,"NEWBAR","19/03/1981, 00.00.00",21,12,0.5,
120,"NEWBAR","19/03/1981, 00.00.00",24,14,0.5,
121,"PARKER","19/03/1981, 00.00.00",36,16,1.2,
122,"PARKER","19/03/1981, 00.00.00",38,15,1.7,
123,"PARKER","19/03/1981, 00.00.00",39,16,1.5,
124,"PARKER","19/03/1981, 00.00.00",32,15,1.1,
125,"PARKER","19/03/1981, 00.00.00",32,15,1.2,
126,"PARKER","19/03/1981, 00.00.00",35,15,1.2,
127,"PARKER","19/03/1981, 00.00.00",37,16,1.3,
128,"PARKER","19/03/1981, 00.00.00",28,13,1.1,
129,"PARKER","19/03/1981, 00.00.00",28,15,1.1,
130,"PARKER","19/03/1981, 00.00.00",38,13,0.8,
131,"TURFEN","20/03/1981, 00.00.00",31,14,0.6,
132,"TURFEN","20/03/1981, 00.00.00",36,14,1,
133,"TURFEN","20/03/1981, 00.00.00",34,15,1,
134,"TURFEN","20/03/1981, 00.00.00",30,15,1.2,
135,"TURFEN","20/03/1981, 00.00.00",30,15,1,
136,"TURFEN","20/03/1981, 00.00.00",31,13,0.6,
137,"TURFEN","20/03/1981, 00.00.00",29,14,1,
138,"TURFEN","20/03/1981, 00.00.00",28,15,1.1,
139,"TURFEN","20/03/1981, 00.00.00",27,14,1.1,
140,"TURFEN","20/03/1981, 00.00.00",38,14,0.8,
141,"KETWML","23/03/1981, 00.00.00",40,15,1.2,
142,"KETWML","23/03/1981, 00.00.00",36,15,1,
143,"KETWML","23/03/1981, 00.00.00",26,13,0.7,
144,"KETWML","23/03/1981, 00.00.00",31,14,1.1,
145,"KETWML","23/03/1981, 00.00.00",33,14,1.2,
146,"KETWML","23/03/1981, 00.00.00",29,13,0.9,
147,"KETWML","23/03/1981, 00.00.00",26,14,1,
148,"KETWML","23/03/1981, 00.00.00",29,14,1,
149,"KETWML","23/03/1981, 00.00.00",30,15,0.8,
150,"KETWML","23/03/1981, 00.00.00",33,14,0.9,
151,"DPSWAS","07/04/1981, 00.00.00",27,13,1,
152,"DPSWAS","07/04/1981, 00.00.00",25,13,1.1,
153,"DPSWAS","07/04/1981, 00.00.00",37,14,1,
154,"DPSWAS","07/04/1981, 00.00.00",41,16,1.9,
155,"DPSWAS","07/04/1981, 00.00.00",36,15,1.2,
156,"DOVEHS","17/04/1981, 00.00.00",40,14,1,
157,"DOVEHS","17/04/1981, 00.00.00",27,15,0.9,
158,"DOVEHS","17/04/1981, 00.00.00",36,14,1.2,
159,"DOVEHS","17/04/1981, 00.00.00",30,14,0.7,
160,"DOVEHS","17/04/1981, 00.00.00",30,13,1,
161,"DOVEHS","17/04/1981, 00.00.00",27,14,0.7,
162,"DOVEHS","17/04/1981, 00.00.00",30,14,0.9,
163,"DOVEHS","17/04/1981, 00.00.00",26,15,1.1,
164,"DOVEHS","17/04/1981, 00.00.00",27,13,0.8,
165,"DOVEHS","17/04/1981, 00.00.00",31,12,0.6,
166,"ELLIWP","27/04/1981, 00.00.00",36,14,1.1,
167,"ELLIWP","27/04/1981, 00.00.00",38,15,1,
168,"ELLIWP","27/04/1981, 00.00.00",33,13,0.7,
169,"ELLIWP","27/04/1981, 00.00.00",30,13,0.7,
170,"ELLIWP","27/04/1981, 00.00.00",26,14,0.7,
171,"ROBARN","07/04/1981, 00.00.00",34,15,1.3,
172,"ROBARN","07/04/1981, 00.00.00",26,15,2.4,
173,"ROBARN","07/04/1981, 00.00.00",36,14,0.9,
174,"ROBARN","07/04/1981, 00.00.00",33,15,1.2,
175,"ROBARN","07/04/1981, 00.00.00",28,12,0.5,
176,"EMPWIL","22/04/1981, 00.00.00",32,15,1.3,
177,"EMPWIL","22/04/1981, 00.00.00",32,12,0.9,
