"SightingID","BehavModifier","BehavSpp"
17,"4","6"
19,"1","1"
22,"13","13"
23,"13","13"
28,"13","13"
29,"11","11"
30,"11","11"
46,"2","5"
50,"4","1"
62,"2","6"
64,"2","5"
65,"5","5"
83,"13","13"
84,"13","13"
99,"1","6"
102,"1","7"
110,"13","13"
117,"1","7"
127,"1","6"
138,"2","6"
150,"11","11"
151,"11","11"
154,"2","1"
160,"13","17"
166,"4","6"
168,"15","0"
169,"11","11"
171,"15","0"
172,"15","0"
173,"0","1"
174,"13","13"
202,"2","6"
239,"0","1"
242,"0","1"
245,"0","1"
246,"0","1"
251,"1","7"
297,"0","1"
326,"0","7"
341,"2","6"
365,"14","0"
370,"14","0"
371,"14","0"
372,"14","0"
373,"14","0"
374,"14","0"
393,"1","7"
407,"14","0"
409,"14","0"
412,"14","0"
413,"14","0"
421,"2","1"
437,"13","12"
458,"0","6"
459,"12","16"
467,"15","0"
468,"15","0"
473,"1","7"
478,"11","11"
479,"11","11"
486,"14","0"
487,"14","0"
488,"1","0"
495,"15","0"
499,"1","9"
502,"2","5"
505,"1","6"
511,"1","6"
536,"15","0"
537,"15","0"
598,"12","11"
601,"13","11"
610,"11","11"
611,"11","11"
615,"15","0"
616,"15","0"
617,"15","0"
626,"1","6"
642,"0","4"
643,"0","4"
644,"13","12"
649,"0","1"
664,"2","6"
665,"12","11"
666,"13","11"
668,"1","6"
670,"14","0"
671,"14","0"
690,"12","11"
691,"12","11"
692,"13","11"
693,"13","11"
694,"0","6"
695,"0","6"
698,"13","13"
702,"0","7"
705,"0","4"
709,"2","5"
711,"2","1"
716,"2","5"
720,"15","0"
733,"13","12"
737,"2","6"
744,"1","7"
747,"13","11"
748,"12","11"
754,"0","4"
760,"0","1"
764,"14","0"
765,"14","0"
770,"0","2"
776,"15","0"
777,"11","11"
779,"11","11"
780,"11","11"
783,"2","5"
784,"0","5"
787,"14","0"
788,"14","0"
791,"2","5"
792,"0","5"
796,"2","6"
798,"1","6"
799,"2","6"
800,"0","6"
804,"15","0"
805,"15","0"
813,"13","11"
814,"12","11"
817,"4","9"
820,"0","1"
824,"12","12"
830,"0","6"
834,"13","11"
835,"12","11"
850,"14","0"
851,"14","0"
852,"0","5"
861,"1","6"
868,"15","0"
869,"12","11"
870,"15","0"
871,"13","11"
872,"14","0"
877,"12","14"
883,"11","11"
884,"2","5"
885,"15","0"
889,"15","0"
893,"15","0"
898,"0","7"
899,"5","7"
902,"0","5"
906,"0","9"
907,"0","7"
910,"2","5"
931,"0","9"
932,"0","9"
933,"0","9"
934,"13","11"
935,"13","11"
936,"12","11"
938,"1","7"
941,"0","9"
942,"0","9"
960,"0","9"
962,"0","7"
963,"2","5"
980,"0","6"
990,"1","6"
991,"2","6"
995,"2","6"
998,"2","6"
999,"6","9"
1004,"2","6"
1007,"2","6"
1011,"1","6"
1018,"2","6"
1019,"6","9"
1020,"13","13"
1022,"13","13"
1031,"9","9"
1045,"1","7"
1049,"3","6"
1056,"4","1"
1057,"4","1"
1058,"4","1"
1061,"2","1"
1063,"4","1"
1065,"4","1"
1074,"2","1"
1080,"9","9"
1088,"4","1"
1093,"4","1"
1097,"4","1"
1100,"3","6"
1109,"9","9"
1115,"9","9"
1116,"9","9"
1121,"13","13"
1128,"4","1"
1130,"2","5"
1134,"2","3"
1135,"1","1"
1136,"2","3"
1143,"13","13"
