"SightingID","Date","StudyArea","SightType","KestrelID","GridSquare","Easting","Northing","Behaviour","SightingNo"
1,"08/10/1980, 09.05.00","M","0",411,"SK",9680,270,6,0
2,"08/10/1980, 09.50.00","M","0",412,"SK",9504,116,6,0
3,"14/10/1980, 12.00.00","M","0",407,"SP",9980,9860,4,0
4,"14/10/1980, 13.30.00","M","0",412,"SK",9520,110,5,0
5,"14/10/1980, 13.30.00","M","0",412,"SK",9500,50,5,1
6,"14/10/1980, 14.00.00","M","0",28,"SK",9680,341,2,0
7,"14/10/1980, 14.00.00","M","0",2565,"SK",9695,392,5,0
8,"14/10/1980, 15.15.00","M","0",410,"SK",9400,1,13,0
9,"14/10/1980, 17.00.00","M","0",407,"SP",9970,9862,,0
10,"15/10/1980, 09.15.00","M","0",418,"SK",9915,89,13,0
11,"15/10/1980, 10.15.00","M","0",408,"SP",9868,9940,6,0
12,"15/10/1980, 16.00.00","M","3",408,"SP",9870,9938,,0
13,"15/10/1980, 17.30.00","M","0",418,"SK",9884,38,13,0
14,"16/10/1980, 09.00.00","M","3",409,"SP",9812,9795,,0
15,"20/10/1980, 15.00.00","M","0",3603,"SP",9520,9720,13,0
16,"20/10/1980, 15.45.00","M","0",410,"SK",9380,2,11,0
17,"21/10/1980, 09.50.00","M","0",407,"SP",9980,9840,13,0
18,"21/10/1980, 10.55.00","M","0",410,"SK",9365,4,13,0
19,"21/10/1980, 11.15.00","M","0",410,"SK",9370,3,13,0
20,"21/10/1980, 12.10.00","M","0",410,"SP",9415,9986,4,1
21,"21/10/1980, 12.19.00","M","0",410,"SP",9452,9965,1,2
22,"21/10/1980, 12.20.00","M","0",410,"SP",9494,9940,8,3
23,"21/10/1980, 13.10.00","M","0",28,"SK",9760,260,8,0
24,"21/10/1980, 14.00.00","M","3",410,"SK",9398,5,,0
25,"21/10/1980, 16.30.00","M","0",412,"SK",9552,52,2,0
26,"21/10/1980, 16.30.00","M","0",412,"SK",9530,100,2,1
27,"21/10/1980, 16.32.00","M","3",411,"SK",9670,252,,0
28,"23/10/1980, 11.30.00","M","0",2566,"SK",9770,580,8,0
29,"24/10/1980, 09.50.00","M","0",3604,"SK",9822,372,8,0
30,"24/10/1980, 09.50.00","M","0",28,"SK",9820,372,8,0
31,"24/10/1980, 10.05.00","M","0",411,"SK",9591,135,13,0
32,"24/10/1980, 11.37.00","M","0",2567,"TL",305,9490,13,0
33,"24/10/1980, 17.15.00","M","0",2568,"SK",9940,330,5,0
34,"28/10/1980, 09.50.00","M","0",28,"SK",9720,275,13,0
35,"28/10/1980, 09.50.00","M","0",28,"SK",9760,255,2,1
36,"28/10/1980, 13.50.00","M","0",412,"SK",9478,80,5,0
37,"29/10/1980, 09.35.00","M","0",2569,"SK",9506,97,5,0
38,"29/10/1980, 10.30.00","M","0",1819,"SP",9818,9800,6,0
39,"29/10/1980, 10.30.00","M","0",2570,"SP",9810,9795,6,0
40,"29/10/1980, 11.00.00","M","0",407,"SP",9940,9852,6,0
41,"29/10/1980, 11.00.00","M","0",407,"SP",9932,9828,6,1
42,"29/10/1980, 11.00.00","M","0",407,"SP",9990,9880,11,2
43,"29/10/1980, 11.00.00","M","0",407,"SP",9920,9900,5,3
44,"29/10/1980, 11.00.00","M","0",407,"SP",9895,9885,5,4
45,"29/10/1980, 13.00.00","M","0",2571,"SK",9588,300,6,0
46,"29/10/1980, 16.00.00","M","0",414,"SK",9311,31,6,0
47,"29/10/1980, 16.00.00","M","0",417,"SK",9302,30,11,0
48,"30/10/1980, 08.55.00","M","0",2572,"SK",9778,583,1,0
49,"30/10/1980, 09.30.00","M","0",28,"SK",9730,258,13,0
50,"30/10/1980, 09.30.00","M","0",28,"SK",9722,238,13,1
51,"30/10/1980, 10.30.00","M","3",412,"SK",9538,103,,0
52,"30/10/1980, 11.55.00","M","0",410,"SK",9360,2,13,0
53,"30/10/1980, 11.40.00","M","0",1955,"SP",9750,9840,2,0
54,"30/10/1980, 12.30.00","M","0",416,"SK",9780,208,2,0
55,"30/10/1980, 12.30.00","M","0",416,"SK",9828,190,11,1
56,"30/10/1980, 13.35.00","M","0",427,"SK",9882,518,13,0
57,"30/10/1980, 13.50.00","M","0",427,"SK",9890,490,2,1
58,"31/10/1980, 10.05.00","M","0",415,"SK",9880,130,13,0
59,"31/10/1980, 10.05.00","M","0",418,"SK",9880,132,11,0
