"SiteCode","Type","StudyArea","GridSquare","Easting","Northing","FullName"
"400PHO","R","A","TL",3220,9110,"400 PUMP HOUSE"
"40FTPH","R","A","TL",3311,8800,"40 FOOT PUMP HOUSE"
"4OOBOX",,"A","TL",3312,9112,
"ASHY",,"G","NT",2222,111,
"BACKRE","R","A","TL",3171,9351,"BACK REACH FARM"
"BAINES","N","M","SK",9859,1317,"BAINES"
"BARDWW",,"M","SK",9397,30,
"BARNLG","R","M","SK",9850,1140,"BARN LODGE"
"BARROB","R","M","SK",9770,311,"BARROWDEN RD SHED"
"BEAR",,"G","NT",1950,480,
"BEAVBA",,"M","SK",9931,318,
"BEAVBB","R","M","SK",9949,349,"BEAVERS BANK COLLYW"
"BEAVBK",,"M","SK",9920,380,
"BEBBOX",,"A","TL",3362,9068,
"BEEZLG",,"A","TL",3582,8855,
"BELMYS",,"M","SK",9475,178,
"BENWPH","R","A","TL",3520,9097,"BENWICK PUMP HOUSE"
"BILLUP","N","A","TL",3708,8220,"BILLUPS BOX"
"BKSB_1",,"G","NT",2210,417,
"BKSB_2",,"G","NT",2211,420,
"BODBOX","B","A","TL",2960,8867,"BODSET T JUNCTION"
"BODCRO",,"A","TL",2959,8665,
"BODELM",,"A","TL",2950,8670,
"BODJON",,"A","TL",2960,8700,
"BOWLAH",,"M","SP",9845,9978,
"BOWLOK","N","M","SP",9820,9970,"BLINKING OWL"
"BPOOLD",,"A","TL",3378,8198,
"BRICKE",,"A","TL",2930,8750,
"BRICKX","N","A","TL",2905,8723,"BRICK KILNS"
"BROAD2","R","A","TL",3370,8190,"BROADPOOL DROVE"
"BROADF","R","A","TL",3415,8310,"BROADPOOL FARM"
"BSSB_3",,"G","NT",2010,464,
"BSSB_4",,"G","NT",2020,471,
"BURNTH",,"A","TL",3426,9348,
"BURYCH","N","A","TL",2865,8351,"BURY CHURCH BOX"
"BURYSK","B","A","TL",2939,8325,"BURY FEN STACK"
"BURYST",,"A","TL",2940,8325,
"CADESX",,"A","TL",3104,8820,
"CAGL_1",,"G","NT",2439,168,
"CAGL_2",,"G","NT",2440,161,
"CAMPBX",,"A","TL",2970,8470,
"CASTAS",,"M","TF",7,960,
"CATR",,"G","NT",3235,98,
"CHAPBR",,"A","TL",2895,9402,
"CHATS1",,"A","TL",3868,8700,
"CHATS2",,"A","TL",3865,8715,
"CHATS3",,"A","TL",3851,8710,
"CHRISL",,"M","SK",9953,1290,
"CHRISX",,"M","SK",9953,1290,
"CHURCH","B","A","TL",2712,8990,"CHURCH FARM"
"COACHB",,"M","SP",9170,9891,
"COLFPA","N","M","SK",9900,252,"COLLYW FISH PONDS"
"COLFPB",,"M","SK",9870,250,
"COLFPC",,"M","SK",9842,240,
"COLFPN",,"M","SK",9900,268,
"COLLBR",,"M","SK",9945,420,
"COLLWB","B","M","TF",30,301,"COLLYN WATER TNR"
"COLLWE",,"M","TF",75,285,
"COLWTS",,"M","SK",9953,221,
"CONEYW",,"A","TL",3980,9285,
"COOKSD",,"A","TL",3065,8512,
"COPLYE",,"M","SK",9595,142,
"COPLYW","B","M","SK",9470,145,"COPPICE LEYS WEST"
"COWPFM",,"M","TF",115,1074,
"CRADAM",,"A","TL",3661,9222,
"CRGL",,"G","NT",2440,161,
"CROSSR",,"M","SK",9688,995,
"CUCKLA",,"M","SK",9678,302,
"CUCKLB","N","M","SK",9673,292,"CUCKOO LODGE"
"CUCKLC",,"M","SK",9649,306,
"CUCKLE",,"M","SK",9718,300,
"DAIRYF","N","A","TL",3005,9000,"DAIRY FARM BOX"
"DAVN_1",,"G","NT",2309,274,
"DAVN_2",,"G","NT",2361,228,
"DAWSON","R","A","TL",3410,8730,"DAWSONS FARM"
"DELAVA","N","A","TL",3110,9380,"DELAVALS"
"DEXTER","B","M","SK",9890,1082,"DEXTERS TREECLOSE"
"DNBPAS","N","M","SK",9880,148,"DUDDINGTON NBP"
"DODGHR",,"A","TL",3852,9081,
"DODGHS","N","A","TL",3851,9060,"DODDINGTON GLASSHOUSES"
"DORING","R","A","TL",2990,8420,"DORRINGTONS FARM"
"DORRIN",,"A","TL",3140,8405,
"DOVCBX",,"A","TL",3620,8120,
"DOVCOT",,"A","TL",3625,8112,
"DOVEHS","N","A","TL",3203,8421,"DOVEHOUSE FARM"
"DPSEAS","N","M","SK",9835,28,"DUDDINGTON PS EAST"
"DPSERN",,"M","SK",9839,58,
"DPSEWL",,"M","SK",9840,33,
"DPSWAS","N","M","SK",9790,26,"DUDDINGTON PS WEST"
"DUDLAY",,"M","SP",9780,9995,
"DUMK",,"G","NT",2555,280,
"DUMW",,"G","NT",2468,210,
"DYKEAS",,"A","TL",3825,9010,
"DYKEBX","N","A","TL",3788,9015,"DYKEMOOR FM BOX"
"DYKESH","B","A","TL",3650,9012,"DYKEMOOR SHED"
"EDLRIN",,"A","TL",3160,9782,
"EDWDFM",,"A","TL",3635,8000,
"EKWD",,"G","NT",2428,278,
"ELDPOM","N","A","TL",3125,9862,"ELDERNELL POND"
"ELDRIN","N","A","TL",3160,9782,"ELDERNEL DRIVE"
"ELDWES",,"A","TL",3100,9854,
"ELLIWP","N","M","SK",9652,610,"ELLIS WIND PUMP"
"ELMSBX",,"M","SK",9235,100,
"ELMSEN",,"A","TL",3349,8497,
"ELMSFM",,"A","TL",3361,8492,
"EMPSTA","N","M","SK",9492,816,"EMPINGHAM PUMP STATION"
"EMPWIL","N","M","SK",9561,824,"EMP WILLOUGHBY"
"ESKW",,"G","NT",2428,278,
"FBOG_1",,"G","NT",2491,739,
"FBOG_2",,"G","NT",2492,732,
"FBOG_3",,"G","NT",2495,792,
"FBOG1",,"G","NT",2495,742,
"FBOG2_1",,"G","NT",2492,723,
"FBOG2_2",,"G","NT",2492,732,
"FBOG3",,"G","NT",2494,712,
"FENBOX",,"A","TL",3270,7980,
"FENMAR","N","A","TL",3760,8370,"SEWARDS FARM ASH"
"FENTON","N","A","TL",3270,7980,"FENTON BOX"
"FHWD_1",,"G","NT",2355,412,
"FHWD_2",,"G","NT",2356,410,
"FHWD_3",,"G","NT",2358,410,
"FIBG",,"G","NT",2379,385,
"FINEAB",,"M","SP",9705,9785,
"FLINTS","N","M","SK",9949,620,"FLINTS ROAD"
"FLOODF",,"A","TL",3530,9375,
"FOURAS",,"A","TL",3178,9088,
"FOURHR","N","A","TL",3241,8985,"400 FARM"
"FOURSH",,"A","TL",3242,8986,
"FOUTYP",,"A","TL",3312,8800,
"FOXCOV",,"M","SK",9653,211,
"FOXHBX",,"A","TL",3222,8162,
"FROGHL",,"A","TL",3210,8524,
"FSBN_1",,"G","NT",2469,398,
"FSBN_2",,"G","NT",2472,400,
"FSBS_3",,"G","NT",2469,361,
"FSBS_4",,"G","NT",2470,374,
"GAIR_1",,"G","NT",2760,954,
"GAIR_2",,"G","NT",2764,952,
"GAIR_3",,"G","NT",2764,953,
"GAIR_4",,"G","NT",2769,962,
"GAIR1_1",,"G","NT",2764,953,
"GAIR1_2",,"G","NT",2769,962,
"GAIR2",,"G","NT",2764,953,
"GATE_1",,"G","NT",2820,1279,
"GATE_2",,"G","NT",2820,1280,
"GGBARB",,"M","SK",9200,390,
"GGBARE","N","M","SK",9192,359,"GGBARN EAST"
"GGBARW",,"M","SK",9150,345,
"GLABCR",,"M","SK",9090,150,
"GLASLD",,"M","SK",9089,58,
"GLASSM",,"A","TL",2975,9080,
"GLASTB",,"M","SK",9134,140,
"GLASTM",,"M","SK",9117,141,
"GLATBA","R","M","SK",9035,132,"GLASTON BARN"
"GLATUN",,"M","SK",9027,70,
"GLEBEA",,"M","SK",9276,295,
"GLEBEB",,"M","SK",9289,320,
"GLEBES","N","M","SK",9278,304,"GLEBE ROAD N LUFF"
"GLEN_1",,"G","NT",2775,1075,
"GLEN_2",,"G","NT",2805,1105,
"GLEN1",,"G","NT",2775,1075,
"GLEN2",,"G","NT",2805,1095,
"GRANGE",,"A","TL",3967,9354,
"GRANHO",,"A","TL",3985,9398,
"GRATQY",,"M","SK",9695,605,
"GRAYAS","N","A","TL",3642,8352,"GRAYS FARM ASH BOX"
"GREGLD","R","M","SK",9961,52,"GREGORYS LODGE"
"GRIFTK",,"M","SK",9639,872,
"GRKW",,"G","NT",2778,838,
"GRSK_1",,"G","NT",2565,720,
"GRSK_2",,"G","NT",2570,710,
"GRSK2",,"G","NT",2565,720,
"GRYD_1",,"G","NT",2546,117,
