"CarcassID","StudyArea","Site","CatchYear","CatchMonth","Species","Sex","Age","Weight","BodyLength","TailLen","HindFootLen","BreedCond","Pregnant","Nipples","AnoGenDist","TestLen","TestWidth","TestWt","OvaryOviductWt","Nembryos","DryWt","LeanDryWt"
1,"M",3,1986,4,"3","M","A",21.8,126,28,162,"2",0,,13.8,7.8,5.5,0.206,,,6.18,5.65
2,"M",3,1986,4,"3","M","A",22.2,125,28,161,"2",0,,13.9,9.1,5.6,0.247,,,6.36,5.75
3,"M",3,1986,4,"3","F","A",15.3,110,25,151,"3",0,"1",6.5,,,,,,4.21,3.94
4,"M",3,1986,4,"3","F","A",16,114,24,155,"4",0,"1",5.8,,,,,,4.89,4.05
5,"M",3,1986,4,"3","M","A",18.5,120,25,157,"2",0,,11.7,8,5.3,0.206,,,5.53,4.88
6,"M",3,1986,4,"3","M","A",18.8,116,25,152,,0,,11.7,8,5.7,0.225,,,5.2,4.64
7,"M",3,1986,4,"3","F","A",15.1,110,24,159,"2",0,"1",5.7,,,,,,4.29,3.9
8,"M",3,1986,4,"7","M","A",10.7,113,39,116,"1",0,,6.2,5.8,3.1,0.048,,,,
9,"M",1,1987,2,"3","M","A",17.5,122,24,157,"3",0,"1",5.9,,,,,,4.86,4.4
10,"M",3,1987,2,"3","F","A",16.6,122,26,152,"3",0,"1",5.5,,,,,,4.83,4.26
11,"M",3,1987,2,"3","F","A",19.4,129,28,146,"3",0,"1",6.5,,,,,,5.98,5.06
12,"M",3,1987,2,"3","M","A",18.3,112,24,155,"1",0,,9,5.3,2.2,0.045,,,5.48,4.59
13,"M",3,1987,2,"3","F","A",17.7,111,24,157,"3",0,"1",5.2,,,,,,5.31,4.21
14,"M",3,1987,2,"3","F","A",18.3,120,26,154,"3",0,"1",5.3,,,,,,5.44,4.77
15,"M",3,1987,2,"3","M","A",19.3,123,27,162,"1",0,,8.1,4.6,2.6,0.032,,,5.67,5.01
16,"M",3,1987,2,"3","F","A",18.6,126,27,161,"3",0,"1",7.8,,,,,,5.59,4.72
17,"M",3,1986,10,"3","F","A",26.5,123,29,160,"3",0,"2",6.8,,,,,5,6.44,5.85
18,"M",3,1986,10,"3","F","A",23.7,132,72,152,"5",0,"2",7.7,,,,,5,6.31,5.75
19,"M",3,1986,10,"3","F","A",20.7,119,24,158,"3",0,"1",5.9,,,,,,5.76,4.99
20,"M",3,1986,10,"3","M","A",19.6,124,26,157,"1",0,,10.5,3.8,1.5,0.01,,,5.96,4.84
21,"M",3,1986,10,"3","F","A",16.9,115,27,164,"3",0,"1",6.3,,,,,,4.56,4.14
22,"M",3,1986,10,"3","F","A",20.6,123,25,161,"3",0,"1",6.2,,,,,3,5.79,4.97
23,"M",3,1986,10,"3","M","A",17.6,119,25,155,"1",0,,8.4,2.7,1.3,0.005,,,5.11,4.31
