"RowID","TrapNightID","Species","Count"
4351,1,"3",10
4352,2,"7",4
4353,3,"3",12
4354,4,"3",10
4355,4,"7",2
4356,5,"3",10
4357,6,"3",25
4358,6,"4",1
4359,6,"7",2
4360,7,"3",13
4361,7,"4",2
4362,7,"7",6
4363,7,"8",1
4364,8,"3",20
4365,8,"4",1
4366,8,"7",5
4367,9,"3",10
4368,9,"4",1
4369,9,"7",5
4370,9,"8",1
4371,10,"3",17
4372,10,"7",3
4373,11,"3",17
4374,11,"7",3
4375,12,"3",12
4376,12,"7",3
4377,13,"3",31
4378,13,"4",4
4379,13,"7",1
4380,14,"3",8
4381,14,"4",1
4382,14,"7",2
4383,14,"8",1
4384,15,"3",23
4385,15,"7",1
4386,16,"3",2
4387,16,"4",5
4388,16,"7",3
4389,17,"3",7
4390,17,"4",1
4391,17,"7",6
4392,18,"3",15
4393,18,"7",2
4394,18,"8",1
4395,19,"3",13
4396,19,"4",1
4397,19,"1",1
4398,19,"7",13
4399,19,"8",2
4400,20,"3",6
4401,20,"7",4
4402,20,"8",1
4403,21,"3",5
4404,22,"3",30
4405,22,"4",1
4406,22,"7",4
4407,23,"3",3
4408,23,"4",2
4409,23,"7",7
4410,24,"3",4
4411,24,"7",2
4412,24,"8",1
4413,25,"3",9
4414,25,"7",6
4415,25,"10",1
4416,26,"3",4
4417,26,"4",2
4418,26,"7",2
4419,26,"5",1
4420,26,"10",1
4421,27,"3",12
4422,27,"7",3
4423,28,"3",10
4424,28,"4",1
4425,28,"7",8
4426,28,"8",1
4427,28,"5",1
4428,29,"3",9
4429,29,"7",3
4430,30,"3",11
4431,30,"4",1
4432,30,"7",4
4433,31,"3",7
4434,31,"1",5
4435,31,"7",2
4436,32,"3",8
4437,32,"4",1
4438,32,"1",11
4439,32,"7",3
4440,32,"6",1
4441,33,"3",13
4442,33,"1",2
4443,33,"7",4
4444,34,"3",19
4445,34,"4",4
4446,34,"1",5
4447,35,"3",6
4448,35,"4",3
4449,35,"1",4
4450,35,"7",4
4451,36,"3",14
4452,36,"4",9
4453,36,"1",4
4454,36,"8",1
4455,37,"3",8
4456,38,"3",11
4457,38,"7",4
4458,39,"3",6
4459,39,"7",2
4460,39,"9",1
4461,40,"3",14
4462,40,"1",1
4463,40,"7",1
4464,40,"6",2
4465,41,"3",10
4466,41,"1",2
4467,41,"7",2
4468,41,"9",1
4469,42,"3",15
4470,42,"4",1
4471,42,"7",5
4472,43,"3",4
4473,43,"4",3
4474,43,"1",1
4475,44,"3",3
4476,45,"3",11
4477,46,"3",7
4478,46,"4",2
4479,46,"7",1
4480,47,"3",1
4481,47,"4",1
4482,47,"7",1
4483,48,"3",6
4484,49,"3",10
4485,50,"3",5
4486,50,"7",1
4487,51,"3",7
4488,51,"7",1
4489,52,"3",4
4490,52,"8",1
4491,53,"3",3
4492,54,"3",5
4493,54,"4",6
4494,55,"3",1
4495,57,"3",2
4496,57,"4",1
4497,57,"1",1
4498,58,"3",4
4499,58,"1",1
4500,58,"7",1
4501,59,"3",8
4502,60,"3",1
4503,61,"3",6
4504,61,"7",1
4505,62,"3",3
4506,62,"7",4
4507,63,"3",1
4508,63,"4",1
4509,63,"8",1
4510,64,"3",5
4511,65,"3",5
4512,65,"7",2
4513,66,"3",1
4514,67,"3",4
4515,67,"7",1
4516,68,"3",2
4517,69,"3",1
4518,69,"1",1
4519,69,"7",11
4520,70,"3",2
4521,70,"4",1
4522,71,"3",22
4523,71,"7",5
4524,71,"8",1
4525,72,"3",2
4526,72,"1",1
4527,72,"7",2
4528,73,"3",3
4529,73,"7",6
4530,74,"3",7
4531,74,"7",4
4532,74,"8",1
4533,74,"9",1
4534,75,"3",6
4535,75,"7",6
4536,76,"3",1
4537,76,"1",21
4538,76,"7",1
4539,77,"3",5
4540,77,"1",11
4541,77,"7",1
4542,78,"3",7
4543,78,"1",1
4544,78,"7",2
4545,78,"8",2
4546,79,"3",7
4547,79,"1",3
4548,79,"7",1
4549,80,"3",6
4550,80,"1",3
4551,80,"7",1
4552,80,"5",1
4553,81,"3",5
4554,81,"1",2
4555,82,"3",1
4556,82,"7",1
4557,83,"3",2
4558,83,"7",5
4559,84,"3",4
4560,85,"3",5
4561,86,"3",2
4562,86,"1",1
4563,87,"3",3
4564,87,"4",2
4565,87,"7",7
4566,87,"9",1
4567,88,"3",13
4568,89,"3",8
4569,89,"1",4
4570,89,"7",1
4571,90,"3",8
4572,90,"4",1
4573,90,"1",1
4574,90,"7",1
4575,91,"3",16
4576,91,"7",1
4577,92,"3",6
4578,92,"4",1
4579,92,"7",2
4580,93,"3",5
4581,94,"3",8
4582,94,"1",1
4583,94,"9",1
4584,95,"3",5
4585,95,"1",4
4586,96,"3",4
4587,96,"1",5
4588,97,"3",3
4589,97,"1",3
4590,97,"7",1
4591,98,"3",1
4592,98,"1",1
4593,99,"3",1
4594,99,"1",3
4595,100,"3",5
4596,101,"3",7
4597,101,"1",1
4598,102,"3",3
4599,102,"1",1
4600,103,"3",7
4601,103,"1",1
4602,103,"7",1
4603,104,"3",18
4604,106,"3",3
4605,106,"1",3
4606,106,"7",1
4607,106,"9",1
4608,107,"3",6
4609,107,"4",2
4610,107,"1",2
4611,107,"7",1
4612,108,"3",2
4613,108,"7",1
4614,109,"3",1
4615,109,"1",1
4616,110,"1",1
4617,110,"7",1
4618,111,"3",1
4619,113,"3",3
4620,113,"7",2
4621,114,"3",4
4622,114,"4",1
4623,114,"7",3
4624,114,"8",1
4625,115,"3",2
4626,115,"1",2
4627,115,"7",2
4628,115,"9",1
4629,116,"3",8
4630,117,"7",1
4631,118,"3",2
