"TrapNightID","Site","StudyArea","Year","Month","DropIndex","GrassStemIndex","MissingTraps","SprungTraps","TotalTrapNights"
1,1,"M",1981,1,,,20,4,36
2,5,"M",1981,1,,,20,1,39
3,6,"M",1981,1,,,21,2,37
4,4,"M",1981,1,,,20,3,37
5,2,"M",1981,1,,,21,1,38
6,6,"M",1981,4,5,19,0,8,52
7,5,"M",1981,4,4,17,0,5,55
8,4,"M",1981,4,8,10,1,7,52
9,2,"M",1981,4,4,16,2,4,54
10,1,"M",1981,4,3,14,0,14,46
11,7,"M",1981,4,9,11,0,10,50
12,3,"A",1981,4,1,10,0,4,56
13,5,"A",1981,4,7,14,0,12,48
14,4,"A",1981,4,5,12,4,4,52
15,6,"A",1981,4,8,12,0,7,53
16,1,"A",1981,4,2,8,0,6,54
17,2,"A",1981,4,3,8,4,2,54
18,2,"M",1981,7,6,9,2,5,53
19,1,"M",1981,7,2,10,2,5,53
20,4,"M",1981,7,3,4,2,12,46
21,7,"M",1981,7,4,9,0,1,59
22,6,"M",1981,7,12,10,0,5,55
23,5,"M",1981,7,3,8,0,11,49
24,3,"M",1981,7,6,6,0,4,56
25,3,"A",1981,7,1,10,4,5,51
26,6,"A",1981,7,2,5,2,1,57
27,5,"A",1981,7,4,6,0,5,55
28,1,"A",1981,7,3,7,0,4,56
29,2,"A",1981,7,3,7,0,4,56
30,4,"A",1981,7,4,10,0,6,54
31,1,"A",1981,10,3,9,0,5,55
32,2,"A",1981,10,2,9,3,5,52
33,4,"A",1981,10,7,14,2,5,53
34,3,"A",1981,10,7,15,0,8,52
35,6,"A",1981,10,10,5,0,6,54
36,5,"A",1981,10,9,15,2,8,50
37,7,"M",1981,10,6,11,0,4,56
38,6,"M",1981,10,6,13,4,6,50
39,5,"M",1981,10,3,8,0,2,58
40,4,"M",1981,10,3,13,4,6,50
41,3,"M",1981,10,3,10,0,0,60
42,1,"M",1981,10,5,17,0,6,54
43,1,"A",1982,1,9,12,0,1,59
