"RowRef","BirdID","BreedYear","HasMate","NestBuild","Incubate","Offspring","MateID"
1,1,1966,1,0,0,1,
2,2,1966,1,0,0,1,
3,2,1967,1,0,0,0,
4,2,1968,1,0,0,0,
5,3,1966,1,0,0,1,
6,3,1967,1,0,0,0,
7,4,1967,1,0,0,0,
8,4,1968,1,0,0,1,
9,4,1971,1,0,0,1,
10,4,1972,1,0,0,0,
11,5,1966,1,0,0,0,
12,5,1967,1,0,0,0,
13,6,1966,1,0,0,1,
14,6,1967,1,0,0,1,
15,6,1968,1,0,0,1,
16,6,1970,1,0,0,1,7
17,6,1971,1,0,0,0,7
502,7,1967,1,0,1,0,
18,7,1969,1,0,0,1,9
19,7,1970,1,0,0,1,6
20,7,1971,1,0,0,0,6
21,9,1969,1,0,0,1,7
22,9,1970,1,0,0,1,10
23,9,1973,1,0,0,1,
24,10,1970,1,0,0,0,9
280,12,1966,1,0,1,0,
281,12,1967,1,0,1,0,
282,12,1968,1,1,1,0,
25,30,1966,1,0,0,1,
26,30,1967,1,0,0,1,
27,33,1966,1,0,0,0,
28,33,1967,1,0,0,1,
29,33,1968,1,0,0,0,
30,41,1966,1,1,0,1,42
296,42,1965,1,0,0,0,
31,42,1966,1,1,0,1,41
297,42,1967,1,1,1,0,
298,42,1968,1,0,0,0,
299,42,1970,1,0,1,0,
32,43,1967,1,1,0,0,44
33,43,1968,1,0,1,1,44
34,43,1969,1,1,0,1,44
35,44,1967,1,1,0,0,43
36,44,1968,1,0,1,1,43
37,44,1969,1,1,0,1,43
414,44,1970,1,0,0,0,
415,44,1972,1,0,0,0,
751,46,1967,1,0,1,0,
750,46,1968,1,1,1,1,
749,46,1969,1,0,1,1,
747,46,1970,1,1,1,1,1240
746,46,1971,1,0,0,0,
755,49,1968,1,0,1,1,
754,49,1969,0,1,0,1,
753,49,1970,0,0,1,0,
752,49,1971,1,1,0,0,
756,51,1967,1,1,1,0,
38,60,1972,1,0,0,1,61
39,61,1972,1,0,0,1,60
40,62,1967,1,0,0,0,
41,62,1968,1,0,0,0,
794,63,1968,1,1,1,1,
793,63,1969,0,1,0,0,
791,63,1970,1,1,1,1,1412
789,63,1971,1,0,1,0,1412
788,63,1972,1,0,1,0,
42,66,1969,1,1,0,1,2824
43,66,1970,1,0,0,1,2824
46,71,1968,1,0,0,1,
47,71,1970,1,0,0,0,
48,71,1972,1,0,0,1,
