"BirdID","SightingDate","GridSquare","Easting","Northing","Crop"
221,"04/12/1964, 00.00.00","NJ",996,298,
221,"07/12/1964, 00.00.00","NJ",996,303,"FEE"
15,"09/12/1964, 00.00.00","NJ",996,296,"gra"
221,"09/12/1964, 00.00.00","NK",19,287,"FEE"
225,"09/12/1964, 00.00.00","NK",10,293,"FEE"
248,"09/12/1964, 00.00.00","NK",19,287,"FEE"
148,"10/12/1964, 00.00.00","NJ",884,238,
225,"10/12/1964, 00.00.00","NK",7,296,"FEE"
273,"26/12/1964, 00.00.00","NJ",994,301,"TRE"
225,"03/01/1965, 00.00.00","NJ",995,299,"TRE"
219,"30/01/1965, 00.00.00","NJ",995,299,"TRE"
248,"05/02/1965, 00.00.00","NJ",984,292,
242,"09/02/1965, 00.00.00","NK",21,307,"FEE"
148,"10/02/1965, 00.00.00","NK",23,315,
221,"10/02/1965, 00.00.00","NJ",998,299,"FEE"
219,"11/02/1965, 00.00.00","NJ",998,296,
225,"11/02/1965, 00.00.00","NK",3,284,
221,"22/02/1965, 00.00.00","NJ",996,302,"GRA"
219,"26/02/1965, 00.00.00","NJ",994,301,"TRE"
225,"26/02/1965, 00.00.00","NJ",994,301,"TIL"
219,"01/03/1965, 00.00.00",,,,
219,"08/03/1965, 00.00.00",,,,
289,"08/03/1965, 00.00.00","NK",18,314,"FEE"
219,"15/03/1965, 00.00.00","NJ",998,298,"GRA"
289,"16/03/1965, 00.00.00","NJ",996,314,
248,"24/03/1965, 00.00.00","NK",4,300,"GRA"
221,"30/03/1965, 00.00.00","NJ",996,303,"PLO"
157,"04/04/1965, 00.00.00","NK",7,294,"SOW"
273,"09/04/1965, 00.00.00",,,,"PLO"
146,"29/04/1965, 00.00.00",,,,
225,"29/04/1965, 00.00.00",,,,
242,"29/04/1965, 00.00.00","NJ",993,316,"SOW"
146,"06/05/1965, 00.00.00",,,,"FEE"
224,"06/05/1965, 00.00.00","NJ",997,298,"FEE"
225,"06/05/1965, 00.00.00","NJ",997,298,"FEE"
289,"11/05/1965, 00.00.00","NJ",999,318,"FEE"
148,"17/05/1965, 00.00.00","NK",26,317,
264,"17/05/1965, 00.00.00","NK",23,297,"GRA"
356,"26/05/1965, 00.00.00","NK",6,268,"PIG"
12,"27/05/1965, 00.00.00","NK",4,300,"gra"
233,"27/05/1965, 00.00.00","NK",22,313,"FEE"
239,"27/05/1965, 00.00.00","NK",19,296,"FEE"
245,"27/05/1965, 00.00.00","NK",5,300,"GRA"
255,"27/05/1965, 00.00.00","NK",4,300,
150,"01/06/1965, 00.00.00","NK",23,314,
287,"01/06/1965, 00.00.00","NK",14,293,
42,"03/06/1965, 00.00.00",,,,"FEN"
266,"03/06/1965, 00.00.00","NK",19,217,"FEN"
254,"04/06/1965, 00.00.00","NK",25,317,
278,"04/06/1965, 00.00.00","NK",21,295,"GRA"
284,"04/06/1965, 00.00.00","NK",21,297,"GRA"
291,"04/06/1965, 00.00.00","NK",22,296,"GRA"
303,"04/06/1965, 00.00.00","NK",21,296,
228,"08/06/1965, 00.00.00","NK",37,305,"FEE"
274,"09/06/1965, 00.00.00","NK",15,317,
12,"17/06/1965, 00.00.00","NK",19,296,
229,"17/06/1965, 00.00.00","NK",45,318,
232,"17/06/1965, 00.00.00","NK",28,318,
233,"17/06/1965, 00.00.00","NK",11,296,
254,"17/06/1965, 00.00.00","NK",35,317,
257,"17/06/1965, 00.00.00","NK",11,296,
264,"17/06/1965, 00.00.00","NK",32,317,
272,"17/06/1965, 00.00.00","NK",33,317,
274,"17/06/1965, 00.00.00","NK",42,302,
281,"17/06/1965, 00.00.00","NK",18,296,
299,"17/06/1965, 00.00.00","NK",11,296,
320,"17/06/1965, 00.00.00","NK",12,297,"CUT"
369,"17/06/1965, 00.00.00","NK",44,312,"TUR"
383,"17/06/1965, 00.00.00","NK",42,302,
398,"17/06/1965, 00.00.00","NK",23,317,
428,"17/06/1965, 00.00.00","NK",13,287,"PIG"
