"BirdID","OldID","BirthYear","Sex"
1,,1965,
2,,1966,
3,,,
4,,,"M"
5,,,"M"
6,,,"F"
7,,,"M"
8,,,
9,,,"F"
10,,,"M"
11,86,,
12,36,,"M"
13,58,,
14,32,,
15,9,,
16,6,,
17,31,,
18,,,
21,,1967,
22,,1967,
23,,1967,
24,,1967,
25,,1967,
26,,1967,
27,,,
28,,,
29,,,
30,,,"M"
32,,,
33,,,"M"
34,,1966,
35,,1966,
36,,1966,
37,,1965,
38,,,
39,,1967,
40,,1966,
41,,,"F"
42,99,,"M"
43,,1966,"M"
44,41,,"F"
45,,1966,
46,,1966,"M"
47,,1965,
48,,1966,
49,,1966,"F"
50,,1966,
51,,1966,"M"
52,,1966,
53,,1966,
54,,,
55,,1966,
56,,1966,
57,,,
58,,1967,
59,,1967,
60,,,
61,,1969,
62,,1966,"M"
63,,1966,"F"
64,,1967,
65,,,
66,,1966,"F"
68,,1967,
69,,1967,
70,,1966,
71,,1966,"M"
72,,,
73,,1967,"M"
74,,1966,
75,,,
77,,1967,
78,,1967,
79,,1967,
80,,,
81,,1967,
82,,,
83,,,
84,,1968,
85,,,"F"
86,,,
87,,,"F"
88,,,"M"
89,,,
90,,,"M"
91,,,"F"
92,91,1964,"M"
93,190,,"M"
94,,1965,"F"
95,,,"M"
96,,1965,
97,,1965,"M"
98,,,"M"
99,,1966,
100,,1966,
101,,,"F"
102,,1966,
103,,1966,
104,,,"F"
105,,1966,"M"
106,,1966,"F"
107,,1966,"M"
108,,1966,
109,387,1966,"M"
110,,1966,"F"
111,,1966,"M"
112,,1966,
113,,1966,"M"
114,394,1966,"F"
115,,1966,
116,,1966,
117,,1966,"F"
118,,,"M"
119,,1966,
120,,1966,"F"
121,,1967,"M"
122,,1967,
123,,1966,
124,,1966,
125,,1966,
126,,1967,
127,,1966,"M"
128,70,,"F"
129,,,"M"
130,,1966,
131,,1966,
132,,,"M"
133,,,
134,,1967,
135,,,
136,,1967,
137,,1967,
138,,1966,
139,,,
140,,1967,
141,,1966,
142,,,
143,96,1964,"F"
144,,,
145,,,
146,19,1964,
147,53,,
148,4,,"M"
149,5,,
150,38,1965,
151,87,1964,"M"
152,68,1964,
153,46,,"M"
154,45,,
155,98,1965,
156,71,,"M"
157,20,1964,
158,61,1965,
159,76,1964,"F"
160,100,,"F"
161,101,1963,
162,102,,
163,,1965,
164,,1965,
165,159,1965,
166,191,1965,
167,,1965,
168,,1965,
169,286,1965,
171,,1965,
172,485,1965,
173,,1965,
174,,1965,
175,285,1965,
176,226,1965,
177,,1965,
178,,1965,
179,,1965,
180,,1965,
181,,1965,
182,,1965,
183,,1965,
184,,1965,
186,,1965,
187,,1965,
188,,1965,
190,,1965,
191,517,1965,
192,,1965,
193,420,1965,
194,,1965,
195,,1965,
196,,1965,
197,,1965,
198,,1965,
199,,1965,
200,,1965,
201,,1965,
202,,,
203,,1965,
204,,1965,
205,411,1965,
206,,1965,
207,,1965,
210,,1965,
213,209,1965,
215,22,,
216,21,,"M"
217,47,,
218,66,1964,
219,14,,"M"
220,7,,"M"
221,11,,
222,62,1969,
223,50,,"M"
224,27,,
225,13,,
226,69,,
227,30,,
228,104,,"F"
229,103,,
230,33,,"M"
231,29,1965,
232,34,,"M"
233,105,,"M"
234,106,1964,
235,108,,"M"
236,107,,"M"
237,109,,"F"
238,110,,
239,72,,
240,24,1964,
241,88,1964,
242,16,,
243,74,1964,"M"
244,55,,"M"
245,25,,
246,10,,
247,90,,
248,12,,
249,39,1965,"M"
250,92,,
251,59,,
252,3,,
253,111,,
254,113,1965,"M"
255,118,,
256,115,,
257,117,1964,"M"
258,181,1964,
259,179,1965,
260,124,,"F"
261,80,1964,
262,75,1964,
263,17,,
264,89,,
265,94,,"M"
266,93,,
267,79,1964,"M"
268,95,,
269,81,,
270,143,,
271,77,1964,
272,60,1964,
273,2,,
274,125,,
275,114,1965,
276,126,1964,
277,127,,
278,42,1965,
279,128,,
280,130,1965,
281,131,,
282,78,,
283,132,,
284,133,,"F"
285,134,1964,"F"
286,67,,
287,51,,
288,43,,"M"
289,15,,
290,49,,
291,48,,
292,112,,
293,37,1964,"M"
294,54,,"M"
295,28,,
296,97,,"M"
297,73,,
298,56,,"M"
299,136,1964,
300,83,1964,"M"
301,44,,"M"
302,138,,"F"
303,139,,
304,140,1964,
305,141,,
306,35,,"M"
307,155,,
308,184,,
309,274,1965,
310,212,1965,
311,213,,
312,144,,
313,145,,
314,146,,
315,147,1965,
316,148,,
317,149,,
318,180,,
319,150,1964,
320,201,,"M"
321,183,,
322,158,,
323,162,,
324,173,,
325,156,,
326,269,,
327,174,,
328,161,,
329,192,,
330,164,,
331,239,1965,
332,275,,
333,200,,
334,151,,
335,182,,
336,233,1965,
337,235,1965,
338,236,1965,"F"
340,169,,
341,172,,
342,170,,
343,188,,
344,229,1965,
345,232,,
346,228,1964,"F"
347,227,1965,
348,202,1965,
349,258,1965,
351,259,,
352,260,1965,"M"
353,262,,
354,204,,
355,245,1964,
356,244,1965,
357,242,1965,
359,243,1965,
360,240,1965,
361,241,1965,
362,176,,
363,246,1965,"F"
364,187,,
365,167,1965,
366,163,1965,
367,193,,
368,294,1965,
369,273,,
370,267,,
371,272,1964,
372,210,1965,
373,207,1964,"M"
374,211,,
375,189,,
376,256,,
377,250,1964,
378,264,1965,
379,266,1965,
380,251,,
381,196,,
382,160,,
383,254,,
384,255,1964,"M"
385,253,,
386,265,1965,
387,263,1965,
388,175,,
389,195,1965,
390,271,,
391,270,,
392,225,,
393,154,,
394,222,,"M"
395,221,,
396,224,1964,
397,220,,
398,178,1964,
399,219,,"M"
400,217,1965,
401,216,,
402,218,1964,
403,276,1965,
404,278,1965,
405,279,,
406,280,1965,
407,282,1965,
408,283,1965,
409,284,,
410,288,,
411,289,1965,
412,290,1965,
413,291,1964,
414,296,1964,
415,299,1965,
416,300,,
417,304,1965,
418,308,,
419,309,,
420,312,,
422,317,1972,
423,319,,
424,320,,"M"
425,324,,
426,321,1964,
427,322,,
428,325,1965,
429,326,,
430,327,,
431,329,,
432,355,1965,
433,331,1965,
434,332,1964,
435,335,,
436,336,,
437,339,1965,
438,340,1965,
439,341,1965,
440,344,,
441,346,,
442,347,1965,
443,349,1965,
444,352,,
445,359,1965,
446,330,,
447,371,1964,"M"
448,360,1964,
449,361,1964,
450,362,1964,
451,363,1964,
452,364,,"M"
453,366,1964,
454,370,,
455,343,1965,
456,386,1964,"M"
