"BirdID","Type","Code","MarkDate","LossDate"
2153,"Met","3015462","20/06/1966, 00.00.00",
589,"Met","3033353","01/01/1900, 00.00.00",
579,"Met","3033355","01/01/1900, 00.00.00",
568,"Met","3033360","01/01/1900, 00.00.00",
2028,"Met","3033361","01/01/1900, 00.00.00",
585,"Met","3033363","01/01/1900, 00.00.00",
572,"Met","3033365","01/01/1900, 00.00.00",
126,"Met","3033366","01/01/1900, 00.00.00",
583,"Met","3033368","01/01/1900, 00.00.00",
581,"Met","3033379","01/01/1900, 00.00.00",
567,"Met","3033380","01/01/1900, 00.00.00",
576,"Met","3033381","01/01/1900, 00.00.00",
587,"Met","3033383","01/01/1900, 00.00.00",
59,"Met","3039975","01/01/1900, 00.00.00",
2263,"Met","3039976","30/05/1967, 00.00.00",
570,"Met","3039977","01/01/1900, 00.00.00",
134,"Met","3039978","01/01/1900, 00.00.00",
25,"Met","3039980","01/01/1900, 00.00.00",
578,"Met","3039981","01/01/1900, 00.00.00",
586,"Met","3039983","01/01/1900, 00.00.00",
140,"Met","3039988","01/01/1900, 00.00.00",
23,"Met","3039994","01/01/1900, 00.00.00",
976,"Met","3043868","01/01/1900, 00.00.00",
594,"Met","3046130","01/01/1900, 00.00.00",
3846,"Met","3050964","01/01/1900, 00.00.00",
774,"Met","3050978","01/01/1900, 00.00.00",
580,"Met","3051379","01/01/1900, 00.00.00",
2261,"Met","3051666","29/05/1967, 00.00.00",
2260,"Met","3051667","29/05/1967, 00.00.00",
28,"Met","3051668","01/01/1900, 00.00.00",
136,"Met","30516681","01/01/1900, 00.00.00",
571,"Met","3051669","01/01/1900, 00.00.00",
1992,"Met","3051676","01/01/1900, 00.00.00",
573,"Met","3051678","01/01/1900, 00.00.00",
566,"Met","3051680","01/01/1900, 00.00.00",
121,"Met","3051686","01/01/1900, 00.00.00",
577,"Met","3051695","01/01/1900, 00.00.00",
599,"Met","3051697","01/01/1900, 00.00.00",
301,"Met","3086818","01/01/1900, 00.00.00",
348,"Met","3099026","01/01/1900, 00.00.00",
624,"Met","3099037","01/01/1900, 00.00.00",
199,"Met","3099103","09/08/1965, 00.00.00",
480,"Met","3099115","01/01/1900, 00.00.00",
503,"Met","3099148","01/01/1900, 00.00.00",
175,"Met","3099189","01/01/1900, 00.00.00",
4077,"Met","3099202","01/01/1900, 00.00.00",
147,"Met","3099205","01/01/1900, 00.00.00",
2996,"Met","3099206","01/01/1900, 00.00.00",
13,"Met","3099210","24/05/1965, 00.00.00",
1328,"Met","3099232","01/01/1900, 00.00.00",
249,"Met","3099294","01/01/1900, 00.00.00",
154,"Met","3099297","15/06/1966, 00.00.00",
588,"Met","3099300","01/01/1900, 00.00.00",
300,"Met","3099305","01/01/1900, 00.00.00",
93,"Met","3099311","01/01/1900, 00.00.00",
143,"Met","3099315","25/07/1967, 00.00.00",
2888,"Met","3099322","01/01/1900, 00.00.00",
2808,"Met","3099352","01/01/1900, 00.00.00",
280,"Met","3099356","01/01/1900, 00.00.00",
2740,"Met","3099366","01/01/1900, 00.00.00",
878,"Met","3099369","01/01/1900, 00.00.00",
1873,"Met","3099372","01/01/1900, 00.00.00",
4956,"Met","3099375","01/01/1900, 00.00.00",
165,"Met","3099383","01/01/1900, 00.00.00",
1966,"Met","3099396","01/01/1900, 00.00.00",
324,"Met","3099400","01/01/1900, 00.00.00",
2629,"Met","3099412","01/01/1900, 00.00.00",
166,"Met","3099417","03/08/1965, 00.00.00",
389,"Met","3099422","01/01/1900, 00.00.00",
1851,"Met","3099426","01/01/1900, 00.00.00",
2171,"Met","3099427","21/06/1966, 00.00.00",
213,"Met","3099433","01/01/1900, 00.00.00",
399,"Met","3099441","01/01/1900, 00.00.00",
3260,"Met","3099610","01/01/1900, 00.00.00",
2336,"Met","3099611","01/01/1900, 00.00.00",
148,"Met","3099612","04/12/1964, 00.00.00",
1831,"Met","3099613","01/01/1900, 00.00.00",
3974,"Met","309962","01/01/1900, 00.00.00",
289,"Met","3099623","01/01/1900, 00.00.00",
216,"Met","3099629","01/01/1900, 00.00.00",
176,"Met","3099632","21/04/1965, 00.00.00",
95,"Met","3099639","01/01/1900, 00.00.00",
400,"Met","3099640","01/01/1900, 00.00.00",
1411,"Met","3099646","04/06/1967, 00.00.00",
169,"Met","3099695","01/01/1900, 00.00.00",
713,"Met","3099710","01/01/1900, 00.00.00",
47,"Met","3099716","20/04/1965, 00.00.00",
2054,"Met","3099726","07/06/1966, 00.00.00",
2055,"Met","3099727","07/06/1966, 00.00.00",
2056,"Met","3099728","07/06/1966, 00.00.00",
2057,"Met","3099729","07/06/1966, 00.00.00",
461,"Met","3099753","01/01/1900, 00.00.00",
920,"Met","3099798","01/01/1900, 00.00.00",
2051,"Met","3101023","06/06/1966, 00.00.00",
1514,"Met","3101910","01/01/1900, 00.00.00",
355,"Met","3101919","01/01/1900, 00.00.00",
1254,"Met","3101923","01/01/1900, 00.00.00",
383,"Met","3101928","01/01/1900, 00.00.00",
1391,"Met","3101930","01/01/1900, 00.00.00",
3387,"Met","3101940","01/01/1900, 00.00.00",
3106,"Met","3101949","01/01/1900, 00.00.00",
978,"Met","3101951","01/01/1900, 00.00.00",
1845,"Met","3101958","01/01/1900, 00.00.00",
1944,"Met","3101965","01/01/1900, 00.00.00",
415,"Met","3101969","01/01/1900, 00.00.00",
715,"Met","3101970","01/01/1900, 00.00.00",
3768,"Met","3101982","01/01/1900, 00.00.00",
