"BirdID","DeathDate","CauseOfDeath"
13,"10/01/1968, 00.00.00","NAT"
17,"15/04/1969, 00.00.00","NAT"
18,"18/02/1967, 00.00.00","NAT"
21,"26/04/1967, 00.00.00","FLEDG"
22,"05/05/1967, 00.00.00","FLEDG"
23,"05/05/1967, 00.00.00","FLEDG"
24,"08/05/1967, 00.00.00","FLEDG"
25,"08/05/1967, 00.00.00","FLEDG"
26,"07/07/1967, 00.00.00","STAR"
27,"07/07/1967, 00.00.00","STAR"
28,"10/07/1967, 00.00.00","SHOT"
29,"13/07/1967, 00.00.00","DIS"
57,"05/05/1971, 00.00.00","NAT"
68,"08/07/1971, 00.00.00","TRAP"
118,"01/04/1975, 00.00.00","NAT"
148,"17/03/1968, 00.00.00","INJ"
151,"13/05/1966, 00.00.00","DIS"
205,"14/03/1974, 00.00.00","NAT"
235,"13/05/1966, 00.00.00","DIS"
249,"24/05/1967, 00.00.00","INJ"
281,"20/04/1966, 00.00.00","NAT"
289,"30/04/1970, 00.00.00","NAT"
291,"05/06/1967, 00.00.00","NAT"
316,"21/04/1966, 00.00.00","NAT"
353,"05/05/1966, 00.00.00","DIS"
383,"23/06/1967, 00.00.00","SHOT"
411,"28/06/1965, 00.00.00","SHOT"
477,"04/04/1968, 00.00.00","NAT"
540,"15/04/1969, 00.00.00","NAT"
560,"10/07/1966, 00.00.00","NAT"
561,"12/07/1966, 00.00.00","ACC"
562,"18/07/1966, 00.00.00","NAT"
563,"20/07/1966, 00.00.00","ROAD"
564,"20/07/1966, 00.00.00","NEST"
565,"08/10/1966, 00.00.00","SHOT"
566,"08/05/1967, 00.00.00","FLEDG"
567,"08/05/1967, 00.00.00","FLEDG"
568,"08/05/1967, 00.00.00","FLEDG"
569,"08/05/1967, 00.00.00","FLEDG"
570,"08/05/1967, 00.00.00","FLEDG"
571,"08/05/1967, 00.00.00","FLEDG"
572,"09/05/1967, 00.00.00","FLEDG"
573,"11/05/1967, 00.00.00","FLEDG"
574,"11/05/1967, 00.00.00","FLEDG"
575,"11/05/1967, 00.00.00","FLEDG"
576,"11/05/1967, 00.00.00","FLEDG"
577,"18/05/1967, 00.00.00","FLEDG"
578,"18/05/1967, 00.00.00","FLEDG"
579,"18/05/1967, 00.00.00","FLEDG"
580,"18/05/1967, 00.00.00","FLEDG"
581,"22/05/1967, 00.00.00","FLEDG"
582,"22/05/1967, 00.00.00","FLEDG"
583,"24/05/1967, 00.00.00","FLEDG"
584,"25/05/1967, 00.00.00","FLEDG"
585,"28/05/1967, 00.00.00","FLEDG"
586,"30/05/1967, 00.00.00","FLEDG"
587,"30/05/1967, 00.00.00","FLEDG"
588,"05/06/1967, 00.00.00","ROAD"
589,"01/06/1967, 00.00.00","FLEDG"
590,"02/07/1967, 00.00.00","NAT"
592,"16/07/1967, 00.00.00","NAT"
593,"24/07/1967, 00.00.00","NAT"
594,"24/07/1967, 00.00.00","NAT"
595,"28/07/1967, 00.00.00","NAT"
596,"25/07/1967, 00.00.00","KILL"
597,"27/12/1967, 00.00.00","NAT"
598,"29/06/1967, 00.00.00","NAT"
599,"29/03/1968, 00.00.00","NAT"
600,"09/05/1968, 00.00.00","NEST"
601,"06/05/1968, 00.00.00","NEST"
602,"06/05/1968, 00.00.00","NEST"
603,"06/05/1968, 00.00.00","NEST"
604,"09/05/1968, 00.00.00","NEST"
605,"09/05/1968, 00.00.00","NEST"
606,"09/05/1968, 00.00.00","NEST"
607,"06/05/1968, 00.00.00","NEST"
608,"13/05/1968, 00.00.00","NEST"
609,"13/05/1968, 00.00.00","NEST"
610,"13/05/1968, 00.00.00","NEST"
611,"13/05/1968, 00.00.00","NEST"
612,"13/05/1968, 00.00.00","NEST"
613,"17/05/1968, 00.00.00","NEST"
614,"24/05/1968, 00.00.00","NEST"
615,"31/05/1968, 00.00.00","NAT"
616,"31/05/1968, 00.00.00","NEST"
617,"31/05/1968, 00.00.00","NEST"
618,"31/05/1968, 00.00.00","NEST"
619,"06/06/1968, 00.00.00","NEST"
621,"25/06/1968, 00.00.00","NAT"
622,"27/06/1968, 00.00.00","NAT"
624,"05/07/1968, 00.00.00","NAT"
625,"11/07/1968, 00.00.00","NAT"
626,"17/07/1968, 00.00.00","SHOT"
628,"04/10/1968, 00.00.00","SHOT"
629,"16/05/1969, 00.00.00","NEST"
630,"08/05/1969, 00.00.00","INJ"
631,"29/07/1969, 00.00.00","ACC"
632,"29/01/1970, 00.00.00","INJ"
634,"09/03/1970, 00.00.00","SHOT"
636,"30/03/1970, 00.00.00","NAT"
637,"06/04/1970, 00.00.00","NAT"
638,"17/04/1970, 00.00.00","NAT"
639,"17/04/1970, 00.00.00","NAT"
640,"08/05/1970, 00.00.00","SHOT"
641,"20/05/1970, 00.00.00","NAT"
642,"27/05/1970, 00.00.00","NAT"
644,"16/06/1970, 00.00.00","TRAP"
646,"17/06/1970, 00.00.00","TRAP"
647,"17/06/1970, 00.00.00","STAR"
648,"17/06/1970, 00.00.00","SHOT"
650,"17/06/1970, 00.00.00","SHOT"
652,"04/05/1970, 00.00.00","NAT"
653,"18/06/1970, 00.00.00","NAT"
655,"18/06/1970, 00.00.00","TRAP"
658,"19/06/1970, 00.00.00","NAT"
659,"21/06/1970, 00.00.00","TRAP"
660,"21/06/1970, 00.00.00","TRAP"
662,"24/06/1970, 00.00.00","TRAP"
665,"26/06/1970, 00.00.00","TRAP"
666,"26/06/1970, 00.00.00","NAT"
667,"29/06/1970, 00.00.00","NAT"
669,"23/06/1970, 00.00.00","ACC"
672,"30/06/1970, 00.00.00","ACC"
673,"30/06/1970, 00.00.00","TRAP"
674,"30/06/1970, 00.00.00","TRAP"
675,"02/07/1970, 00.00.00","KILL"
676,"05/07/1970, 00.00.00","NAT"
677,"07/07/1970, 00.00.00","KILL"
678,"07/07/1970, 00.00.00","NAT"
679,"13/07/1970, 00.00.00","TRAP"
681,"30/06/1970, 00.00.00","ROAD"
683,"09/03/1970, 00.00.00","SHOT"
684,"21/07/1970, 00.00.00","NAT"
686,"22/07/1970, 00.00.00","NAT"
687,"15/06/1970, 00.00.00","SHOT"
688,"24/07/1970, 00.00.00","NAT"
689,"29/07/1970, 00.00.00","NAT"
690,"31/07/1970, 00.00.00","NAT"
691,"12/09/1970, 00.00.00","SHOT"
692,"18/12/1970, 00.00.00","KILL"
693,"09/02/1971, 00.00.00","NAT"
694,"09/02/1971, 00.00.00","NAT"
695,"10/02/1971, 00.00.00","SHOT"
698,"01/04/1971, 00.00.00","NAT"
699,"31/03/1971, 00.00.00","KILL"
700,"17/04/1971, 00.00.00","NAT"
701,"18/04/1971, 00.00.00","NAT"
702,"14/06/1971, 00.00.00","NAT"
705,"08/06/1971, 00.00.00","NAT"
706,"09/06/1971, 00.00.00","ACC"
707,"10/06/1971, 00.00.00","ROAD"
708,"30/05/1971, 00.00.00","NAT"
711,"08/06/1971, 00.00.00","ROAD"
712,"15/06/1971, 00.00.00","ROAD"
713,"16/06/1971, 00.00.00","TRAP"
714,"16/06/1971, 00.00.00","TRAP"
715,"17/06/1971, 00.00.00","ACC"
716,"17/06/1971, 00.00.00","ACC"
717,"17/06/1971, 00.00.00","ACC"
718,"17/06/1971, 00.00.00","ACC"
719,"02/06/1971, 00.00.00","NAT"
722,"06/07/1971, 00.00.00","ACC"
723,"26/06/1971, 00.00.00","ROAD"
724,"08/07/1971, 00.00.00","TRAP"
725,"08/07/1971, 00.00.00","TRAP"
726,"08/07/1971, 00.00.00","TRAP"
728,"09/07/1971, 00.00.00","TRAP"
729,"13/07/1971, 00.00.00","TRAP"
730,"15/07/1971, 00.00.00","TRAP"
731,"16/07/1971, 00.00.00","ROAD"
732,"16/07/1971, 00.00.00","TRAP"
733,"16/07/1971, 00.00.00","TRAP"
735,"23/07/1971, 00.00.00","SHOT"
736,"17/07/1971, 00.00.00","NAT"
737,"20/07/1971, 00.00.00","NAT"
738,"25/07/1971, 00.00.00","NAT"
739,"19/07/1971, 00.00.00","NAT"
740,"19/07/1971, 00.00.00","NAT"
741,"22/07/1971, 00.00.00","TRAP"
742,"12/07/1971, 00.00.00","NAT"
743,"15/05/1971, 00.00.00","SHOT"
744,"15/07/1971, 00.00.00","SHOT"
745,"15/05/1971, 00.00.00","SHOT"
746,"15/05/1971, 00.00.00","SHOT"
747,"15/05/1971, 00.00.00","SHOT"
748,"05/07/1971, 00.00.00","NAT"
749,"06/09/1971, 00.00.00","NAT"
750,"07/09/1971, 00.00.00","ROAD"
751,"08/09/1971, 00.00.00","NAT"
753,"12/09/1971, 00.00.00","NAT"
754,"10/07/1972, 00.00.00","TRAP"
755,"14/03/1972, 00.00.00","NAT"
757,"26/03/1972, 00.00.00","SHOT"
758,"26/03/1972, 00.00.00","SHOT"
759,"26/03/1972, 00.00.00","SHOT"
762,"03/07/1972, 00.00.00","SHOT"
763,"03/07/1972, 00.00.00","SHOT"
764,"03/07/1972, 00.00.00","SHOT"
765,"03/07/1972, 00.00.00","SHOT"
767,"03/05/1972, 00.00.00","NAT"
768,"28/07/1972, 00.00.00","NAT"
769,"10/03/1973, 00.00.00","NAT"
770,"18/03/1973, 00.00.00","NAT"
773,"31/08/1974, 00.00.00","SHOT"
774,"31/08/1974, 00.00.00","SHOT"
775,"31/08/1974, 00.00.00","SHOT"
776,"29/08/1974, 00.00.00","SHOT"
777,"23/09/1974, 00.00.00","SHOT"
778,"23/09/1974, 00.00.00","SHOT"
779,"11/07/1974, 00.00.00","NAT"
780,"26/07/1973, 00.00.00","ROAD"
781,"23/10/1973, 00.00.00","NAT"
782,"28/03/1974, 00.00.00","NAT"
783,"01/07/1974, 00.00.00","SHOT"
785,"03/08/1975, 00.00.00","SHOT"
786,"10/04/1975, 00.00.00","SHOT"
787,"17/09/1975, 00.00.00","SHOT"
788,"23/10/1975, 00.00.00","SHOT"
789,"09/05/1978, 00.00.00","NAT"
791,"03/04/1979, 00.00.00","DIS"
793,"07/05/1981, 00.00.00","NAT"
796,"03/05/1983, 00.00.00","KILL"
797,"03/05/1983, 00.00.00","KILL"
798,"03/05/1983, 00.00.00","KILL"
799,"01/06/1984, 00.00.00","SHOT"
880,"28/11/1970, 00.00.00","NAT"
882,"04/12/1971, 00.00.00","NAT"
907,"13/03/1971, 00.00.00","SHOT"
975,"06/04/1972, 00.00.00","NAT"
986,"25/01/1966, 00.00.00","NAT"
1062,"25/06/1971, 00.00.00","NAT"
1400,"17/06/1970, 00.00.00","SHOT"
1561,"17/06/1970, 00.00.00","NAT"
1776,"18/12/1970, 00.00.00","KILL"
1796,"06/11/1970, 00.00.00","NAT"
1934,"02/06/1973, 00.00.00","ACC"
2879,"08/06/1970, 00.00.00","NAT"
2929,"23/06/1971, 00.00.00","SHOT"
2988,"17/06/1970, 00.00.00","NAT"
3048,"23/06/1971, 00.00.00","SHOT"
3072,"18/06/1970, 00.00.00","NAT"
3117,"25/06/1970, 00.00.00","TRAP"
3137,"25/06/1970, 00.00.00","TRAP"
3148,"18/06/1970, 00.00.00","NAT"
3327,"23/06/1971, 00.00.00","SHOT"
3732,"10/07/1972, 00.00.00","NAT"
4064,"30/06/1971, 00.00.00","TRAP"
4200,"29/06/1972, 00.00.00","TRAP"
4318,"29/06/1972, 00.00.00","TRAP"
4334,"30/06/1972, 00.00.00","TRAP"
4450,"25/07/1972, 00.00.00","TRAP"
4633,"02/06/1973, 00.00.00","ACC"
4829,"23/06/1971, 00.00.00","TRAP"
4868,"23/06/1971, 00.00.00","TRAP"
5014,"23/06/1971, 00.00.00","TRAP"
5047,"30/06/1971, 00.00.00","TRAP"
