"RookeryID","AreaID","AreaName","GridSquare","Easting","Northing"
17,1,"Foveran House","NJ",990,240
31,2,"Menie House","NJ",974,202
32,3,"Middlemuir","NJ",936,207
13,4,"Cannahars","NJ",916,205
28,5,"Mains of Knapperna","NJ",887,240
12,6,"Cairnfechil","NJ",863,264
41,7,"Pittrichie","NJ",854,257
33,8,"Mill of Auchenuiue","NJ",842,255
5,9,"Auquhorthies","NJ",835,298
10,10,"Blairfowl","NJ",805,385
16,11,"Fetterletter","NJ",792,382
39,12,"Northtown","NJ",845,495
19,13,"Greenbrae","NJ",850,486
11,14,"Cairnbanno","NJ",850,443
37,15,"Newmill","NJ",855,438
8,16,"Balquhindachy","NJ",851,431
3,17,"Asleid House","NJ",845,417
1,18,"Arnage Castle","NJ",932,375
45,19,"St. Fidamnans Chapel","NK",27,329
29,20,"Mains of Leask","NK",26,333
40,21,"Pitlurg","NK",25,330
2,22,"Artrochie School","NK",1,320
4,23,"Auchmacoy Station","NJ",994,317
24,24,"Home Farm","NJ",997,311
44,25,"South Atrochie","NK",4,301
27,26,"Macharmuir","NJ",997,297
9,27,"Beaes of Waterton","NJ",983,302
25,28,"Kirkton, Logie Buchan","NJ",980,300
23,29,"Hillhead of Ferhil","NJ",953,294
14,30,"Claymires","NJ",942,285
43,31,"Skenes Belt","NJ",915,290
22,32,"Hillhead of Esslemont","NJ",911,288
34,33,"Milton of Ardlethen","NJ",915,306
47,34,"Northfield","NJ",915,232
47,35,"Woodside","NJ",918,231
47,36,"Tillery Burn 1","NJ",923,225
47,37,"Drive and Gate","NJ",913,226
47,38,"Home Farm","NJ",917,227
47,39,"Tillery Burn 2","NJ",919,224
47,40,"Tillery Burn 3","NJ",913,224
48,41,"First Beech Avenue (East)","NJ",890,265
48,42,"Second Beech Avenue","NJ",888,265
48,43,"Third Beech Avenue (West)","NJ",885,262
30,44,"Near Moss Head","NJ",806,288
30,45,"St. Mary's Chapel","NJ",810,298
30,46,"Main Gate","NJ",810,285
30,47,"Fraserburgh Rd","NJ",815,288
30,48,"Hillhead of Lightnot","NJ",805,299
38,49,"Road Junction","NJ",707,331
38,50,"Main Road","NJ",705,326
38,51,"Shop and Church","NJ",705,330
38,52,"Hillocks Crossroads","NJ",713,325
42,53,"Near Kinbroom","NJ",716,345
42,54,"Kinbroom Farm","NJ",716,349
42,55,"Rogerleat","NJ",709,365
42,56,"Blackburn Wood","NJ",714,355
42,57,"Home Farm","NJ",709,356
42,58,"South of Maryfield","NJ",707,357
42,59,"Hill of Wells","NJ",705,370
42,60,"Woods of Blackford","NJ",697,367
42,61,"Drummsimnie","NJ",701,376
18,62,"Northgate","NJ",763,397
18,63,"Between Gate and Quarry","NJ",762,397
18,64,"Quarry to Beech","NJ",760,395
18,65,"Between Mid Haddo & High Spruce","NJ",759,387
18,66,"Silver Firs Drive","NJ",762,397
18,67,"South of Estate Office","NJ",759,390
18,68,"Mid Haddo","NJ",757,386
18,69,"High Spruce","NJ",759,397
18,70,"Haddo Haugh","NJ",757,383
36,71,"Maud Road","NJ",907,445
36,72,"Bog Hole","NJ",907,440
36,73,"Bend in Road","NJ",911,434
36,74,"Near Railway Greenbae","NJ",919,441
36,75,"Greenbae Track","NJ",918,445
36,76,"Railway Bank","NJ",923,427
36,77,"Whin Hill","NJ",915,430
36,78,"Ashy Folds","NJ",913,445
36,79,"Undocumented","NJ",904,431
20,80,"New Trees","NJ",875,347
20,81,"Northeast Corner Wall","NJ",884,346
20,82,"Corner to Lake","NJ",882,347
20,83,"At Bridge","NJ",879,348
20,84,"North Pine Roundel","NJ",878,345
20,85,"2nd Pine Roundel","NJ",877,343
20,86,"Line of Alder, Elm etc.","NJ",880,343
20,87,"Pines Along Wall","NJ",883,340
20,88,"250 Yards From End of Wall","NJ",881,334
20,89,"Outside Wall","NJ",880,332
20,90,"Sycamores","NJ",879,334
20,91,"North of Wire Fence","NJ",875,339
20,92,"Ornamental Gate","NJ",876,343
20,93,"Elm Roundel","NJ",881,345
20,94,"Raxton Wood","NJ",877,333
20,95,"Tall Spruce Trees","NJ",879,349
15,96,"Quarry","NJ",937,305
15,97,"Rookery Belt","NJ",936,305
15,98,"Rookery","NJ",935,305
15,99,"Rookery Extension to Craigie Hill","NJ",925,304
15,100,"Meiklemill","NJ",944,303
15,101,"Mains Clump","NJ",939,298
15,102,"Deciduous Quarry","NJ",940,303
15,103,"Deciduous Meiklemill","NJ",943,304
7,104,"Balmedie","NJ",967,186
6,105,"Backhill of Overhill","NJ",929,182
26,106,"Longdrum","NJ",930,174
50,107,"White Myres","NJ",744,306
46,108,"South of Mill","NJ",858,212
46,109,"West of Mill","NJ",855,213
46,110,"Sittyton","NJ",856,208
46,111,"St. Mary's Well","NJ",862,211
46,112,"Near Front House","NJ",862,209
46,113,"Lake","NJ",868,205
46,114,"Torryleith","NJ",879,204
