"RowRef","RookeryID","CountYear","NestCount"
1,17,1963,790
2,17,1964,819
3,17,1965,983
4,17,1966,865
5,17,1967,766
6,17,1968,887
7,17,1969,1358
8,17,1970,1091
9,17,1971,1037
10,17,1972,885
11,17,1973,943
12,17,1974,1154
13,17,1975,1131
14,17,1976,1199
15,17,1977,1110
18,17,1980,1108
19,17,1981,1310
20,31,1963,130
21,31,1964,6
22,31,1965,121
23,31,1966,105
24,31,1967,93
25,31,1968,92
26,31,1969,88
27,31,1970,113
28,31,1971,110
29,31,1972,89
30,31,1973,88
31,31,1974,105
32,31,1975,161
33,31,1976,140
38,31,1981,245
39,32,1963,166
40,32,1964,158
41,32,1965,221
42,32,1966,263
43,32,1967,173
44,32,1968,212
45,32,1969,222
46,32,1970,101
47,32,1971,199
48,32,1972,187
49,32,1973,179
50,32,1974,188
51,32,1975,183
52,32,1976,142
53,32,1977,152
54,32,1978,168
55,32,1979,163
56,32,1980,161
57,32,1981,179
58,13,1963,247
59,13,1964,321
60,13,1965,403
61,13,1966,327
62,13,1967,384
63,13,1968,379
64,13,1969,379
65,13,1970,422
66,13,1971,495
67,13,1972,423
68,13,1973,437
69,13,1974,457
70,13,1975,321
71,13,1976,320
72,13,1977,253
73,13,1978,227
74,13,1979,201
75,13,1980,220
76,13,1981,279
78,28,1964,250
79,28,1965,229
80,28,1966,200
81,28,1967,115
82,28,1968,225
83,28,1969,221
84,28,1970,214
85,28,1971,202
86,28,1972,172
87,28,1973,180
88,28,1974,194
89,28,1975,202
90,28,1976,208
95,28,1981,232
96,12,1963,4
97,12,1964,12
98,12,1965,28
99,12,1966,18
100,12,1967,35
101,12,1968,63
102,12,1969,67
103,12,1970,135
104,12,1971,93
105,12,1972,111
106,12,1973,97
107,12,1974,166
108,12,1975,155
109,12,1976,244
114,12,1981,328
115,41,1963,35
116,41,1964,23
117,41,1965,46
118,41,1966,30
119,41,1967,12
120,41,1968,40
121,41,1969,16
134,33,1963,108
135,33,1964,148
136,33,1965,159
137,33,1966,123
138,33,1967,96
139,33,1968,150
140,33,1969,72
141,33,1970,109
142,33,1971,75
143,33,1972,77
144,33,1973,69
145,33,1974,62
146,33,1975,66
147,33,1976,77
152,33,1981,78
153,5,1963,7
154,5,1964,9
155,5,1965,2
156,5,1966,3
157,5,1967,2
158,5,1968,1
159,5,1969,3
160,5,1970,2
161,5,1971,3
162,5,1972,5
163,5,1973,3
164,5,1974,3
165,5,1975,2
166,5,1976,9
171,5,1981,0
172,10,1963,75
173,10,1964,264
174,10,1965,302
175,10,1966,346
176,10,1967,318
177,10,1968,339
178,10,1969,388
179,10,1970,339
180,10,1971,367
181,10,1972,451
182,10,1973,402
183,10,1974,380
184,10,1975,336
185,10,1976,394
189,10,1980,390
190,10,1981,646
191,16,1963,260
192,16,1964,340
193,16,1965,406
194,16,1966,380
195,16,1967,463
196,16,1968,411
197,16,1969,427
198,16,1970,487
199,16,1971,558
200,16,1972,579
201,16,1973,544
202,16,1974,567
203,16,1975,607
204,16,1976,662
209,16,1981,666
210,39,1963,177
211,39,1964,203
212,39,1965,364
213,39,1966,352
214,39,1967,290
215,39,1968,329
216,39,1969,292
217,39,1970,294
218,39,1971,353
219,39,1972,337
220,39,1973,335
221,39,1974,397
222,39,1975,338
223,39,1976,341
227,39,1980,195
228,39,1981,353
229,19,1963,82
230,19,1964,150
231,19,1965,175
232,19,1966,182
233,19,1967,215
234,19,1968,265
235,19,1969,263
236,19,1970,281
237,19,1971,226
238,19,1972,283
239,19,1973,323
240,19,1974,334
241,19,1975,325
242,19,1976,300
246,19,1980,384
247,19,1981,482
248,11,1963,420
249,11,1964,758
250,11,1965,493
251,11,1966,528
252,11,1967,516
253,11,1968,512
254,11,1969,503
255,11,1970,539
256,11,1971,501
257,11,1972,566
258,11,1973,534
259,11,1974,528
260,11,1975,543
261,11,1976,536
262,11,1977,555
263,11,1978,592
264,11,1979,725
265,11,1980,685
266,11,1981,775
267,37,1963,196
268,37,1964,232
269,37,1965,200
270,37,1966,272
271,37,1967,271
272,37,1968,288
273,37,1969,163
274,37,1970,229
275,37,1971,198
276,37,1972,209
277,37,1973,201
278,37,1974,288
279,37,1975,291
280,37,1976,248
281,37,1977,204
282,37,1978,300
283,37,1979,123
284,37,1980,169
285,37,1981,195
286,8,1963,200
287,8,1964,201
288,8,1965,159
306,3,1964,185
307,3,1965,216
308,3,1966,195
309,3,1967,165
310,3,1968,170
311,3,1969,151
312,3,1970,177
313,3,1971,157
314,3,1972,197
315,3,1973,181
316,3,1974,203
317,3,1975,162
318,3,1976,170
319,3,1977,170
320,3,1978,168
321,3,1979,166
322,3,1980,189
323,3,1981,221
324,1,1963,340
325,1,1964,1059
326,1,1965,1339
327,1,1966,1761
328,1,1967,2129
329,1,1968,2074
330,1,1969,2178
331,1,1970,2459
332,1,1971,1912
333,1,1972,2241
334,1,1973,2218
335,1,1974,1895
336,1,1975,2087
337,1,1976,1757
341,1,1980,1902
342,1,1981,2218
343,45,1963,92
344,45,1964,59
345,45,1965,63
346,45,1966,59
347,45,1967,48
348,45,1968,62
349,45,1969,67
350,45,1970,64
351,45,1971,53
352,45,1972,65
353,45,1973,68
354,45,1974,73
355,45,1975,50
356,45,1976,77
357,45,1977,83
358,45,1978,100
359,45,1979,112
360,45,1980,105
361,45,1981,96
362,29,1963,9
363,29,1964,8
364,29,1965,9
365,29,1966,7
366,29,1967,3
367,29,1968,0
368,29,1969,8
369,29,1970,15
370,29,1971,7
371,29,1972,2
372,29,1973,0
373,29,1974,0
374,29,1975,5
375,29,1976,7
376,29,1977,13
377,29,1978,20
378,29,1979,15
379,29,1980,13
380,29,1981,18
381,40,1963,52
382,40,1964,75
383,40,1965,69
384,40,1966,49
385,40,1967,15
386,40,1968,13
387,40,1969,3
388,40,1970,0
