"RookeryID","RookeryName"
1,"Arnage Castle"
2,"Artrochie School"
3,"Asleid House"
4,"Auchmacoy Station"
5,"Auquhorthies"
6,"Backhill of Overhill"
7,"Balmedie"
8,"Balquhindachy"
9,"Beaes of Waterton"
10,"Blairfowl"
11,"Cairnbanno"
12,"Cairnfechil"
13,"Cannahars"
14,"Claymires"
15,"Esselmont"
16,"Fetterletter"
17,"Foveran House"
18,"Fyvie Castle"
19,"Greenbrae"
20,"Haddo House"
21,"Hatton Castle"
22,"Hillhead of Esslemont"
23,"Hillhead of Ferhil"
24,"Home Farm"
25,"Kirkton, Logie Buchan"
26,"Longdrum"
27,"Macharmuir"
28,"Mains of Knapperna"
29,"Mains of Leask"
30,"Meldrum House"
31,"Menie House"
32,"Middlemuir"
33,"Mill of Auchenuiue"
34,"Milton of Ardlethen"
35,"Mounies Castle"
36,"Nethermuir"
37,"Newmill"
38,"Newseat Warthill"
39,"Northtown"
40,"Pitlurg"
41,"Pittrichie"
42,"Rothie Norman"
43,"Skenes Belt"
44,"South Artrochie"
45,"St. Fidamnans Chapel"
46,"Straloch"
47,"Tillery House"
48,"Udny Castle"
49,"Water of Cruden"
50,"White Myres"
51,"Station Rookery"
52,"School Rookery"
