"RowRef","BirdID","SightingDate","TreeID","RookeryID","WithMate"
4,1,"25/05/1966, 00.00.00",60,44,0
5,1,"27/05/1966, 00.00.00",,44,1
153,1,"08/06/1966, 00.00.00",4,44,0
7,1,"15/06/1966, 00.00.00",3,44,0
8,1,"21/06/1966, 00.00.00",2,44,0
9,1,"24/06/1966, 00.00.00",3,44,1
10,1,"26/06/1966, 00.00.00",3,44,1
11,1,"28/06/1966, 00.00.00",2,44,0
12,1,"30/06/1966, 00.00.00",2,44,0
13,1,"03/07/1966, 00.00.00",3,44,0
6,1,"08/09/1966, 00.00.00",4,44,0
14,1,"13/09/1966, 00.00.00",53,44,0
15,1,"20/09/1966, 00.00.00",50,44,0
16,1,"04/10/1966, 00.00.00",22,44,0
17,1,"28/10/1966, 00.00.00",47,44,0
18,1,"08/11/1966, 00.00.00",3,44,0
19,1,"05/01/1967, 00.00.00",101,44,0
20,1,"07/03/1967, 00.00.00",3,44,0
21,1,"30/03/1967, 00.00.00",3,44,0
22,1,"10/04/1967, 00.00.00",29,44,0
23,1,"24/04/1967, 00.00.00",4,44,0
24,1,"08/05/1967, 00.00.00",3,44,0
25,1,"22/05/1967, 00.00.00",10,44,0
26,1,"30/05/1967, 00.00.00",55,44,0
27,1,"01/06/1967, 00.00.00",54,44,0
28,1,"12/06/1967, 00.00.00",105,44,0
29,1,"27/03/1968, 00.00.00",105,44,0
30,1,"08/04/1968, 00.00.00",3,44,0
31,1,"18/04/1968, 00.00.00",105,44,0
32,1,"30/04/1968, 00.00.00",2,44,0
33,1,"20/03/1969, 00.00.00",,44,0
2049,1,"21/03/1969, 00.00.00",,44,0
2050,1,"22/03/1969, 00.00.00",,44,0
2051,1,"23/03/1969, 00.00.00",,44,0
2052,1,"24/03/1969, 00.00.00",,44,0
2053,1,"25/03/1969, 00.00.00",,44,0
2057,1,"26/03/1969, 00.00.00",,44,0
2058,1,"27/03/1969, 00.00.00",,44,0
2060,1,"28/03/1969, 00.00.00",,44,0
2054,1,"31/03/1969, 00.00.00",,44,0
2055,1,"04/04/1969, 00.00.00",,44,0
2056,1,"10/04/1969, 00.00.00",,44,0
34,2,"26/05/1966, 00.00.00",22,44,0
1,2,"27/05/1966, 00.00.00",22,44,1
2,2,"31/05/1966, 00.00.00",97,44,0
3,2,"28/06/1966, 00.00.00",43,44,0
35,2,"30/06/1966, 00.00.00",6,44,0
36,2,"13/09/1966, 00.00.00",9,44,0
37,2,"20/09/1966, 00.00.00",6,44,0
38,2,"27/09/1966, 00.00.00",6,44,1
39,2,"04/10/1966, 00.00.00",45,44,1
40,2,"28/10/1966, 00.00.00",6,44,1
41,2,"08/11/1966, 00.00.00",8,44,0
42,2,"15/11/1966, 00.00.00",6,44,1
43,2,"23/11/1966, 00.00.00",6,44,0
44,2,"05/01/1967, 00.00.00",6,44,1
45,2,"02/03/1967, 00.00.00",8,44,1
46,2,"16/03/1967, 00.00.00",8,44,0
47,2,"30/03/1967, 00.00.00",8,44,1
48,2,"03/04/1967, 00.00.00",6,44,1
49,2,"04/04/1967, 00.00.00",6,44,1
50,2,"10/04/1967, 00.00.00",6,44,1
51,2,"27/04/1967, 00.00.00",25,44,1
52,2,"01/05/1967, 00.00.00",25,44,1
53,2,"08/05/1967, 00.00.00",25,44,1
54,2,"15/05/1967, 00.00.00",25,44,1
55,2,"29/05/1967, 00.00.00",25,44,0
56,2,"30/05/1967, 00.00.00",25,44,0
57,2,"22/09/1967, 00.00.00",,44,0
58,2,"17/10/1967, 00.00.00",,44,0
59,2,"31/10/1967, 00.00.00",,44,0
60,2,"14/03/1968, 00.00.00",6,44,1
61,2,"21/03/1968, 00.00.00",6,44,1
62,2,"16/03/1970, 00.00.00",,44,1
63,2,"29/04/1970, 00.00.00",,44,0
65,3,"26/05/1966, 00.00.00",47,44,1
67,3,"31/05/1966, 00.00.00",22,44,0
66,3,"01/06/1966, 00.00.00",23,44,0
68,3,"09/06/1966, 00.00.00",22,44,0
69,3,"04/10/1966, 00.00.00",47,44,1
70,3,"28/10/1966, 00.00.00",48,44,1
71,3,"08/11/1966, 00.00.00",48,44,1
