"RowRef","RookeryID","CountDate","BirdCount"
1,27,"16/03/1966, 00.00.00",278
2,27,"29/03/1966, 00.00.00",165
3,27,"05/04/1966, 00.00.00",264
4,27,"13/04/1966, 00.00.00",217
5,27,"19/04/1966, 00.00.00",207
6,27,"21/04/1966, 00.00.00",169
7,27,"26/04/1966, 00.00.00",276
8,27,"03/05/1966, 00.00.00",259
9,27,"15/05/1966, 00.00.00",111
10,27,"26/05/1966, 00.00.00",361
11,27,"31/05/1966, 00.00.00",254
12,27,"29/06/1966, 00.00.00",282
13,27,"20/07/1966, 00.00.00",288
14,27,"25/08/1966, 00.00.00",350
15,27,"17/05/1967, 00.00.00",373
17,27,"13/03/1968, 00.00.00",299
18,27,"20/03/1968, 00.00.00",238
19,27,"27/03/1968, 00.00.00",304
21,27,"10/04/1968, 00.00.00",257
22,27,"16/04/1968, 00.00.00",255
23,27,"22/04/1968, 00.00.00",268
24,27,"01/05/1968, 00.00.00",261
25,27,"22/05/1968, 00.00.00",137
26,27,"31/05/1968, 00.00.00",128
27,27,"05/06/1968, 00.00.00",27
28,27,"11/06/1968, 00.00.00",153
29,44,"16/03/1966, 00.00.00",730
30,44,"29/03/1966, 00.00.00",580
31,44,"05/04/1966, 00.00.00",618
32,44,"13/04/1966, 00.00.00",487
33,44,"19/04/1966, 00.00.00",535
34,44,"26/04/1966, 00.00.00",660
35,44,"03/05/1966, 00.00.00",581
36,44,"15/05/1966, 00.00.00",1187
37,44,"26/05/1966, 00.00.00",1253
38,44,"31/05/1966, 00.00.00",1079
39,44,"29/06/1966, 00.00.00",750
40,44,"20/07/1966, 00.00.00",836
41,44,"25/08/1966, 00.00.00",420
42,44,"17/05/1967, 00.00.00",687
43,44,"13/03/1968, 00.00.00",505
44,44,"20/03/1968, 00.00.00",526
45,44,"27/03/1968, 00.00.00",558
46,44,"03/04/1968, 00.00.00",555
47,44,"10/04/1968, 00.00.00",501
48,44,"16/04/1968, 00.00.00",469
49,44,"22/04/1968, 00.00.00",562
50,44,"01/05/1968, 00.00.00",457
51,44,"22/05/1968, 00.00.00",716
52,44,"31/05/1968, 00.00.00",876
53,44,"05/06/1968, 00.00.00",1180
54,44,"11/06/1968, 00.00.00",861
55,44,"19/06/1968, 00.00.00",897
56,44,"25/06/1968, 00.00.00",841
57,52,"08/06/1965, 00.00.00",180
58,52,"09/06/1965, 00.00.00",304
59,52,"05/07/1965, 00.00.00",285
60,52,"06/07/1965, 00.00.00",169
61,52,"19/04/1966, 00.00.00",149
62,52,"21/04/1966, 00.00.00",161
63,52,"26/04/1966, 00.00.00",175
64,52,"15/05/1966, 00.00.00",442
65,52,"26/05/1966, 00.00.00",315
66,52,"31/05/1966, 00.00.00",296
67,24,"08/06/1965, 00.00.00",95
68,24,"19/04/1966, 00.00.00",214
69,24,"21/04/1966, 00.00.00",191
70,24,"26/04/1966, 00.00.00",224
71,24,"15/05/1966, 00.00.00",145
72,24,"26/05/1966, 00.00.00",255
73,24,"31/05/1966, 00.00.00",117
74,24,"29/06/1966, 00.00.00",315
75,51,"19/04/1966, 00.00.00",521
76,51,"26/04/1966, 00.00.00",508
77,51,"15/05/1966, 00.00.00",413
78,51,"26/05/1966, 00.00.00",592
79,51,"31/05/1966, 00.00.00",477
80,4,"31/05/1966, 00.00.00",251
