"RowRef","BirdID","TrapDate","TrapTime","TrapID","Dead","Mass","BillLength","BillDepth","Wing","GapeWorm"
1,125,"24/04/1967, 00.00.00",,1,0,520,39.7,10.8,,
2,127,"07/07/1967, 00.00.00",,7,0,530,41,11.2,,
3,127,"02/03/1970, 00.00.00",,1,0,480,43.4,11.7,,
4,128,"24/05/1967, 00.00.00",,1,0,,,,,
5,129,"10/07/1967, 00.00.00",,7,0,450,38.7,11.4,,
6,130,"01/05/1967, 00.00.00",,2,0,460,34.6,10.6,,
7,131,"01/05/1967, 00.00.00",,2,0,450,37.6,10,,
8,132,"01/05/1967, 00.00.00",,1,0,510,38.4,11.8,,
9,133,"10/07/1967, 00.00.00",,7,0,370,30.9,10,,
10,134,"12/07/1967, 00.00.00",,7,0,480,,,,
11,135,"12/07/1967, 00.00.00",,7,0,440,35.2,10.8,,
12,136,"13/07/1967, 00.00.00",,7,0,440,,,,
13,136,"02/03/1970, 00.00.00",,1,0,515,41,12.3,,
14,137,"05/05/1967, 00.00.00",,1,0,480,33,9.5,,
15,138,"16/05/1967, 00.00.00",,11,0,445,37.9,10.8,,
16,140,"18/05/1967, 00.00.00",,1,0,420,33.5,8.5,,
17,141,"18/05/1967, 00.00.00",,7,0,380,37,10.6,,
18,143,"25/07/1967, 00.00.00",,7,0,,,,,
19,144,"05/10/1967, 00.00.00",,1,0,510,42.3,11.5,,
20,146,"17/03/1965, 00.00.00",,1,0,,,,,
21,146,"22/06/1965, 00.00.00",,2,0,,,,,
22,147,"24/05/1965, 00.00.00",,1,0,,,,,
23,148,"04/12/1964, 00.00.00",,9,0,,,,,
24,149,"04/12/1964, 00.00.00",,9,0,,,,,
25,150,"24/05/1965, 00.00.00",,1,0,,,,,
26,151,"25/05/1965, 00.00.00",,1,0,,,,,
27,152,"24/05/1965, 00.00.00",,1,0,,,,,
28,153,"24/05/1965, 00.00.00",,1,0,,,,,
29,154,"24/05/1965, 00.00.00",,1,0,,,,,
30,155,"25/05/1966, 00.00.00",,1,0,,,,,
31,155,"29/05/1966, 00.00.00",,1,0,,,,,
32,156,"24/05/1965, 00.00.00",,1,0,,,,,
33,157,"17/03/1965, 00.00.00",,1,0,,,,,
34,158,"24/05/1965, 00.00.00",,1,0,,,,,
35,159,"24/05/1965, 00.00.00",,1,0,,,,,
36,160,"26/05/1965, 00.00.00",,1,0,,,,,
37,161,"26/05/1965, 00.00.00",,1,0,,,,,
38,162,"26/05/1965, 00.00.00",,1,0,,,,,
39,163,"03/08/1965, 00.00.00","30/12/1899, 09.00.00",12,0,510,,,,
40,164,"03/08/1965, 00.00.00","30/12/1899, 09.00.00",12,0,500,,,,
41,165,"03/08/1965, 00.00.00","30/12/1899, 09.00.00",12,0,500,,,,
42,166,"03/08/1965, 00.00.00","30/12/1899, 09.00.00",12,0,420,,,,
43,167,"03/08/1965, 00.00.00","30/12/1899, 12.00.00",12,0,470,,,,
44,167,"09/08/1965, 00.00.00","30/12/1899, 16.00.00",12,0,450,,,,
45,168,"03/08/1965, 00.00.00","30/12/1899, 09.00.00",12,0,430,,,,
46,169,"03/08/1965, 00.00.00","30/12/1899, 09.00.00",12,0,500,,,,
47,1514,"03/08/1965, 00.00.00","30/12/1899, 09.00.00",12,0,490,,,,
48,171,"03/08/1965, 00.00.00","30/12/1899, 12.00.00",12,0,470,,,,
49,172,"03/08/1965, 00.00.00","30/12/1899, 12.00.00",12,0,480,,,,
50,173,"09/08/1965, 00.00.00","30/12/1899, 10.00.00",12,0,430,,,,
51,174,"09/08/1965, 00.00.00","30/12/1899, 10.00.00",12,0,440,,,,
52,175,"09/08/1965, 00.00.00","30/12/1899, 10.00.00",12,0,470,,,,
53,176,"09/08/1965, 00.00.00","30/12/1899, 10.00.00",12,0,550,,,,
54,177,"09/08/1965, 00.00.00","30/12/1899, 10.00.00",12,0,460,,,,
