"BirdID","BTO","Sex","HatchYear","AgeIsMinEstimate"
1,"DA53804","F",1986,0
2,"DA53824","F",1983,1
3,"DA53825","F",1984,0
4,"EB01517","F",1974,0
5,"EB01706","F",1972,1
6,"EB01707","F",1972,1
7,"EB01708","F",1974,0
8,"EB01709","F",1973,1
9,"EB01711","F",1973,0
10,"EB01725","F",1975,0
11,"EB01728","F",1975,0
12,"EB01786","F",1975,0
13,"EB01787","F",1974,0
14,"EB01792","F",1973,1
15,"EB01793","F",1973,1
16,"EB01794","F",1974,0
17,"EB01844","F",1973,1
18,"EB01845","F",1973,1
19,"EB01846","F",1973,1
20,"EB01847","F",1973,1
21,"EB01848","F",1973,1
22,"EB01849","F",1973,1
23,"EB08421","F",1976,0
24,"EF32762","F",1971,0
25,"EF32763","F",1971,0
26,"EF61126","F",1974,0
27,"EF62238","F",1973,0
28,"EF62358","F",1974,0
29,"EF62397","F",1972,1
30,"EF62398","F",1974,0
31,"EF62399","F",1972,1
32,"EF90518","F",1975,0
33,"EF90519","F",1974,1
34,"EF90523","F",1976,0
35,"EF90524","F",1974,1
36,"EF90527","F",1976,0
37,"EF90536","F",1975,0
38,"EF90539","F",1977,0
39,"EF90546","F",1977,0
40,"EF90548","F",1977,0
41,"EF90561","F",1974,1
42,"EF90590","F",1975,1
43,"EH20713","F",1976,1
44,"EH20714","F",1976,1
45,"EH20715","F",1976,1
46,"EH20719","F",1976,1
47,"EH20720","F",1976,1
48,"EH20721","F",1977,0
49,"EH20722","F",1976,1
50,"EH20723","F",1976,1
51,"EH20776","F",1978,0
52,"EH20777","F",1978,0
53,"EH20778","F",1978,0
54,"EH20785","F",1979,0
55,"EH20786","F",1978,1
56,"EH20791","F",1978,1
58,"EH31401","F",1976,0
59,"EH31404","F",1975,1
60,"EH31405","F",1976,0
61,"EH31406","F",1977,0
62,"EH31407","F",1975,1
63,"EH31408","F",1976,0
64,"EH31409","F",1977,0
65,"EH31410","F",1975,1
66,"EH31417","F",1975,1
67,"EH69587","F",1978,0
68,"EH69588","F",1979,0
69,"EH69589","F",1979,0
70,"EH69590","F",1977,1
71,"EH69598","F",1977,1
72,"EH69599","F",1978,0
73,"EH69655","F",1979,0
74,"EH69699","F",1980,0
75,"EH69705","F",1980,0
76,"EH69986","F",1979,0
77,"EH69987","F",1980,0
78,"EH69990","F",1980,0
79,"EH69991","F",1980,0
80,"EH84839","F",1980,0
81,"EH84840","F",1979,1
82,"EH84842","F",1981,0
83,"EH84843","F",1980,0
84,"EH84844","F",1980,0
85,"EH84845","F",1979,1
86,"EH84846","F",1980,0
87,"EH84851","F",1981,0
88,"EH84881","F",1980,1
89,"EH84882","F",1980,1
90,"EH84883","F",1980,1
91,"EH84884","F",1980,1
92,"EH84885","F",1981,0
93,"EH84886","F",1980,1
94,"EH84887","F",1980,1
95,"EH84888","F",1980,1
96,"EH84889","F",1980,1
97,"EH84894","F",1983,0
98,"EH84897","F",1983,0
99,"EH84899","F",1983,0
100,"EH84900","F",1982,0
101,"EH84904","F",1983,0
102,"EH84930","F",1980,1
103,"EH84933","F",1983,0
104,"EH84934","F",1981,1
105,"EH84935","F",1983,0
106,"EH84936","F",1981,1
107,"EH84937","F",1981,1
108,"EH84938","F",1981,1
109,"EH84939","F",1981,1
110,"EH84940","F",1983,0
111,"EH84941","F",1981,1
112,"EH84945","F",1984,0
113,"EH84950","F",1982,1
114,"EH84952","F",1984,0
115,"EH84958","F",1984,0
116,"EH84971","F",1984,0
117,"EH84979","F",1984,0
118,"EH84981","F",1983,0
119,"EH84982","F",1983,0
120,"EH84983","F",1984,0
121,"EH84984","F",1984,0
122,"EH84985","F",1984,0
123,"EH84986","F",1984,0
124,"EH84987","F",1984,0
125,"EH84988","F",1984,0
126,"EH84999","F",1985,0
127,"EH85000","F",1984,0
128,"EN28509","F",1982,1
129,"EN28511","F",1984,0
130,"EN28512","F",1985,0
131,"EN28513","F",1984,0
132,"EN28514","F",1984,0
133,"EN28515","F",1985,0
134,"EN28516","F",1985,0
135,"EN28517","F",1983,1
136,"EN28518","F",1985,0
137,"EN28519","F",1983,1
138,"EN28520","F",1985,0
139,"EN28521","F",1985,0
140,"EN28522","F",1985,0
141,"EN28523","F",1985,0
143,"EN28528","F",1984,0
144,"EN28790","F",1987,0
145,"EN98705","F",1986,0
146,"EN98710","F",1984,1
147,"EN98711","F",1986,0
148,"EN98712","F",1986,0
149,"EN98713","F",1985,0
150,"EN98714","F",1986,0
151,"EN98715","F",1985,0
152,"EN98716","F",1985,0
153,"EN98717","F",1986,0
154,"EN98718","F",1986,0
155,"EN98719","F",1985,0
156,"EN98720","F",1984,1
157,"EN98756","F",1987,0
158,"EN98761","F",1985,1
159,"EN98776","F",1987,0
160,"EN98785","F",1986,0
161,"EN98787","F",1986,0
162,"EN98788","F",1985,1
163,"EN98789","F",1987,0
164,"EN98791","F",1987,0
165,"EN98792","F",1986,0
166,"EN98793","F",1987,0
167,"EN98794","F",1987,0
168,"EN98795","F",1987,0
169,"EN98796","F",1986,0
170,"EN98797","F",1987,0
171,"EN98804","F",1988,0
172,"EN98820","F",1987,0
173,"EN98830","F",1987,0
174,"EN98836","F",1986,1
175,"EN98837","F",1987,0
176,"EN98838","F",1988,0
177,"EN98839","F",1986,1
178,"EN98840","F",1988,0
179,"EN98841","F",1987,0
180,"EN98842","F",1987,0
181,"EN98843","F",1989,0
182,"EN98845","F",1989,0
183,"EN98854","F",1988,0
184,"EN98868","F",1989,0
185,"EN98873","F",1987,0
186,"EN98874","F",1986,1
187,"EN98875","F",1989,0
188,"EN98876","F",1989,0
189,"EN98877","F",1989,0
190,"EN98878","F",1989,0
191,"EN98879","F",1989,0
192,"EN98880","F",1989,0
193,"EN98881","F",1989,0
194,"EN98882","F",1989,0
195,"EN98883","F",1989,0
196,"EN98895","F",1989,0
197,"EP32801","F",1993,0
198,"EP34215","F",1989,0
199,"EP34216","F",1989,0
200,"EP34217","F",1989,0
201,"EP34218","F",1990,0
202,"EP34219","F",1989,0
203,"EP34220","F",1990,0
204,"EP34221","F",1988,1
205,"EP34222","F",1989,0
206,"EP34223","F",1988,1
207,"EP34224","F",1988,1
208,"EP34225","F",1989,0
209,"EP34226","F",1988,1
210,"EP34227","F",1990,0
211,"EP34228","F",1990,0
212,"EP34229","F",1990,0
213,"EP34256","F",1991,0
214,"EP34264","F",1990,0
215,"EP34265","F",1991,0
216,"EP34266","F",1990,0
217,"EP34267","F",1989,1
218,"EP34268","F",1990,0
219,"EP34269","F",1990,0
220,"EP34270","F",1991,0
221,"EP34271","F",1991,0
222,"EP34272","F",1990,0
223,"EP34298","F",1991,0
224,"EP34299","F",1991,0
225,"EP34300","F",1992,0
226,"EP34305","F",1990,1
227,"EP34306","F",1991,0
228,"EP34307","F",1990,1
229,"EP34308","F",1991,1
230,"EP34333","F",1993,0
231,"EP34343","F",1993,0
232,"EP34344","F",1992,0
233,"EP34346","F",1991,1
234,"EP34347","F",1992,0
235,"EP34348","F",1992,0
236,"EP34350","F",1991,1
237,"EP34351","F",1992,0
238,"EP34352","F",1993,0
239,"EP34353","F",1991,1
240,"EP34354","F",1991,1
241,"EP34388","F",1994,0
242,"EP34389","F",1993,1
243,"EP34391","F",1993,0
244,"EP34392","F",1992,1
245,"EP34393","F",1993,0
246,"EP34394","F",1994,0
247,"EP34395","F",1993,0
248,"EP34396","F",1992,1
249,"EP34397","F",1993,0
250,"EP34398","F",1994,0
251,"EP34399","F",1993,0
252,"EP34400","F",1994,0
253,"ER82824","F",1995,0
254,"ER82825","F",1993,0
255,"ER82826","F",1994,0
256,"ER82827","F",1993,1
257,"ER82828","F",1994,0
258,"ER82830","F",1993,1
259,"ER82857","F",1995,0
260,"ER82858","F",1993,1
261,"ER82859","F",1994,1
262,"ER82860","F",1996,0
263,"ER82861","F",1995,0
264,"ER82862","F",1994,1
265,"ER82863","F",1994,0
266,"ER82883","F",1995,0
267,"DA23719","M",1978,0
268,"DA23800","M",1980,1
269,"DA35601","M",1977,1
270,"DA35602","M",1977,1
271,"DA40408","M",1980,1
272,"DA40412","M",1983,0
273,"DA40430","M",1983,0
274,"DA40431","M",1981,1
275,"DA40432","M",1981,1
276,"DA40433","M",1982,0
277,"DA40450","M",1983,0
278,"DA40462","M",1989,0
279,"DA40475","M",1989,0
280,"DA40480","M",1989,0
281,"DA40483","M",1987,0
282,"DA40491","M",1990,0
283,"DA40496","M",1990,0
284,"DA45601","M",1984,0
285,"DA45622","M",1982,1
286,"DA45623","M",1984,0
287,"DA45632","M",1985,0
288,"DA45648","M",1982,1
289,"DA45649","M",1983,1
290,"DA45650","M",1984,0
