"BreedEventID","BreedYear","SiteID","MaleID","FemaleID","TreeAge","StableScore","MovingScore","ClutchSize","Hatched","Fledged","BreedSuccess","LayPeriod","Growth","BreedStatus"
487,1979,99,,,,3,,0,0,0,0,,,"N"
488,1974,100,,,,3,,,0,0,0,,,"U"
489,1975,100,,,,3,,,,,1,,,"X"
490,1977,100,,696,,3,,4,2,2,1,5,,"Z"
491,1978,100,,,,3,,3,0,0,0,,,"D"
492,1979,100,,,,3,,,0,0,0,,,"G"
493,1971,101,,,,5,,5,0,0,0,6,,"B"
494,1972,101,,,,5,,6,3,3,1,4,,"Z"
495,1973,101,,,,5,,1,0,0,0,5,,"D"
496,1974,101,,,,5,,5,3,2,1,4,,"Z"
497,1976,101,,,,5,,,0,0,0,4,,"D"
498,1977,101,,642,,5,,4,3,2,1,3,111.4,"Z"
499,1978,101,,642,,5,,5,,3,1,4,,"Z"
500,1979,101,,376,,5,,4,4,3,1,8,,"Z"
501,1980,101,814,376,,5,,5,4,4,1,6,,"Z"
502,1971,102,,,,1,,5,0,0,0,,,"B"
503,1972,102,,,,1,,,0,0,0,3,,"B"
504,1971,103,,441,,2,,4,2,2,1,6,,"Z"
505,1972,103,,,,2,,0,0,0,0,,,"N"
506,1973,103,,,,2,,5,,3,1,5,,"Z"
507,1971,104,,442,,3,,4,1,1,1,6,,"Z"
508,1975,104,,588,,3,,4,4,3,1,5,,"Z"
509,1976,104,,642,,3,,5,5,5,1,3,,"S"
510,1977,104,,650,,3,,6,3,2,1,3,,"Z"
511,1980,104,,650,,3,,6,6,6,1,3,,"S"
512,1972,105,,,,1,,0,0,0,0,,,"N"
513,1974,105,,,,1,,4,2,2,1,7,,"Z"
514,1971,106,,,,3,,6,,4,1,5,,"Z"
515,1972,106,,,,3,,0,0,0,0,,,"N"
516,1973,106,,,,3,,4,4,0,0,3,,"P"
517,1974,106,,,,3,,5,,0,0,3,,"M"
518,1978,106,741,740,,3,,6,5,4,1,3,,"Z"
519,1972,107,,,,3,,5,,3,1,3,,"Z"
520,1974,107,,,,3,,0,0,0,0,,,"N"
521,1975,107,,,,3,,0,0,0,0,,,"N"
522,1976,107,,612,,3,,5,4,4,1,4,,"Z"
523,1979,107,778,777,,3,,1,0,0,0,7,,"D"
524,1971,108,,,,1,,,0,0,0,,,"U"
525,1971,109,,440,,5,,5,4,4,1,3,,"Z"
526,1972,109,,,,5,,4,0,0,0,,,"Q"
527,1973,109,,,,5,,5,,3,1,3,,"Z"
528,1974,109,,,,5,,6,6,6,1,2,,"S"
529,1975,109,554,589,,5,,5,,4,1,4,,"Z"
530,1977,109,,652,,5,,4,4,3,1,6,92.4,"Z"
531,1978,109,651,656,,5,,5,5,5,1,4,,"S"
532,1979,109,,,,5,,,,3,1,6,,"Z"
533,1980,109,,707,,5,,4,4,4,1,5,,"S"
534,1971,110,,,,3,,,,,1,,,"X"
535,1972,110,,,,3,,,,4,1,5,,"X"
536,1973,110,,,,3,,5,5,5,1,2,,"S"
537,1974,110,,,,3,,,3,2,1,2,,"Z"
538,1975,110,591,590,,3,,,,,1,,,"X"
539,1980,110,,,,3,,,,,1,3,,"X"
540,1972,111,,,,4,,3,,2,1,5,,"Z"
541,1974,111,,,,4,,,,,1,,,"X"
542,1975,111,,590,,4,,,,,,2,,"R"
543,1976,111,653,592,,4,,,,,1,4,,"Z"
544,1977,111,653,592,,4,,5,5,5,1,6,103.3,"S"
545,1978,111,,707,,4,,5,5,4,1,5,,"Z"
546,1979,111,653,707,,4,,0,0,0,0,,,"N"
547,1971,112,,451,,4,,,,1,1,2,,"Z"
548,1972,112,,,,4,,5,3,3,1,4,,"Z"
549,1973,112,,,,4,,4,3,3,1,4,,"Z"
550,1974,112,,,,4,,4,0,0,0,5,,"B"
551,1975,112,,451,,4,,,0,0,0,,,"P"
552,1979,112,,782,,4,,3,0,0,0,8,,"D"
553,1980,112,,818,,4,,2,0,0,0,3,,"D"
554,1971,113,,,,2,,,,2,1,3,,"Z"
555,1972,113,,,,2,,5,4,3,1,5,,"Z"
556,1973,113,,,,2,,0,0,0,0,,,"N"
557,1974,113,,,,2,,0,0,0,0,,,"N"
558,1971,114,,453,,4,,,,3,1,3,,"X"
559,1972,114,,,,4,,5,2,2,1,3,,"Z"
