"RowRef","MeasureDate","MeasureTime","BirdID","Wing","Mass"
250,"25/04/1990, 00.00.00",,296,201,130
251,"27/05/1990, 00.00.00","30/12/1899, 10.15.00",195,236,333
252,"27/05/1990, 00.00.00","30/12/1899, 12.30.00",170,234,320
253,"27/05/1990, 00.00.00","30/12/1899, 09.30.00",178,242,360
254,"24/05/1990, 00.00.00","30/12/1899, 14.30.00",126,247,350
255,"30/04/1990, 00.00.00","30/12/1899, 20.30.00",189,241,310
256,"23/05/1990, 00.00.00","30/12/1899, 10.30.00",149,232,312
257,"23/04/1990, 00.00.00",,291,197,150
258,"23/06/1990, 00.00.00",,291,196,143
259,"26/06/1990, 00.00.00","30/12/1899, 20.00.00",136,244,310
260,"25/06/1990, 00.00.00","30/12/1899, 17.15.00",159,235,285
261,"22/05/1990, 00.00.00",,192,230,290
262,"26/06/1990, 00.00.00","30/12/1899, 09.30.00",302,199,140
264,"23/04/1990, 00.00.00",,173,244,320
265,"27/06/1990, 00.00.00",,173,245,305
266,"11/07/1990, 00.00.00","30/12/1899, 14.00.00",317,198,138
267,"12/07/1990, 00.00.00","30/12/1899, 09.45.00",198,230,282
268,"25/05/1990, 00.00.00","30/12/1899, 20.15.00",193,232,285
269,"19/05/1990, 00.00.00","30/12/1899, 19.30.00",174,237,310
270,"22/05/1990, 00.00.00","30/12/1899, 09.00.00",190,235,324
271,"21/05/1990, 00.00.00","30/12/1899, 20.15.00",190,241,335
272,"20/05/1990, 00.00.00",,177,234,340
273,"27/04/1989, 00.00.00",,101,240,335
274,"26/04/1989, 00.00.00",,292,204,150
275,"27/04/1989, 00.00.00",,170,234,375
276,"29/05/1989, 00.00.00",,178,239,355
277,"30/06/1989, 00.00.00","30/12/1899, 09.00.00",308,205,136
279,"10/05/1989, 00.00.00","30/12/1899, 14.30.00",300,202,145
280,"23/05/1989, 00.00.00","30/12/1899, 09.00.00",126,246,350
281,"23/04/1989, 00.00.00",,159,234,332
282,"08/05/1989, 00.00.00","30/12/1899, 11.20.00",302,201,148
283,"23/05/1989, 00.00.00","30/12/1899, 09.00.00",291,196,150
284,"24/05/1989, 00.00.00",,136,241,315
285,"01/06/1989, 00.00.00",,351,195,150
286,"26/06/1989, 00.00.00","30/12/1899, 10.00.00",180,237,310
287,"26/06/1989, 00.00.00",,297,201,145
288,"27/06/1989, 00.00.00","30/12/1899, 20.00.00",183,234,277
289,"23/05/1989, 00.00.00",,155,237,350
290,"24/05/1989, 00.00.00",,295,204,151
291,"01/06/1989, 00.00.00","30/12/1899, 16.45.00",119,242,335
292,"01/06/1989, 00.00.00","30/12/1899, 14.45.00",179,236,328
293,"10/07/1989, 00.00.00","30/12/1899, 09.30.00",185,239,290
294,"26/06/1989, 00.00.00","30/12/1899, 11.00.00",307,202,150
295,"08/07/1989, 00.00.00","30/12/1899, 20.00.00",307,,147
296,"24/05/1989, 00.00.00","30/12/1899, 11.50.00",145,235,366
297,"09/05/1989, 00.00.00",,168,232,320
298,"27/04/1989, 00.00.00",,294,200,138
299,"26/05/1989, 00.00.00",,294,202,145
