"BirdID","BreedEventID"
1,1125
10,955
26,750
38,966
40,992
74,969
75,1041
97,1073
98,1091
99,1091
101,1079
114,1050
116,1074
126,1150
145,1188
157,1212
159,1197
181,1193
213,1313
230,1344
267,1029
272,1100
278,1229
279,1115
280,1185
284,1119
287,1105
296,996
306,1202
307,1146
308,1134
316,1259
323,1300
324,1318
325,1335
330,1226
331,1339
332,1334
358,1129
359,1119
367,972
369,373
370,320
374,318
375,372
376,439
397,920
399,966
418,379
470,85
471,178
476,475
482,699
508,733
511,717
517,178
518,161
519,450
520,266
521,483
527,267
534,415
539,312
544,136
545,243
550,630
557,95
558,215
559,383
565,178
572,417
579,338
581,293
583,383
589,609
604,700
606,347
613,537
628,686
630,427
635,301
637,348
644,30
646,554
657,536
658,9
663,840
667,316
673,9
675,136
677,155
679,201
680,155
689,246
715,484
717,193
720,246
723,217
732,770
733,137
735,156
739,858
740,314
748,762
761,246
766,411
772,302
777,412
788,319
791,375
793,784
796,1004
801,91
806,510
807,245
817,893
820,376
