"SiteID","Region","Altitude","LandUse"
1,"A",320.04,2
2,"A",289.56,2
3,"A",243.84,2
4,"A",228.6,2
5,"A",213.36,2
6,"A",182.88,2
7,"A",228.6,2
8,"A",228.6,2
9,"A",198.12,2
10,"A",137.16,2
11,"A",274.32,2
12,"A",320.04,1
13,"A",213.36,2
14,"A",304.8,1
15,"A",304.8,1
16,"A",274.32,2
17,"A",304.8,2
18,"A",228.6,2
19,"A",213.36,2
20,"A",213.36,2
21,"A",198.12,2
22,"A",198.12,2
23,"A",182.88,2
24,"A",274.32,2
25,"A",167.64,2
26,"A",137.16,2
27,"A",228.6,2
28,"A",228.6,2
29,"A",198.12,2
30,"A",152.4,2
31,"A",167.64,2
32,"A",121.92,0
33,"A",106.68,0
34,"A",152.4,2
35,"A",198.12,2
36,"A",152.4,2
37,"A",106.68,0
38,"A",137.16,0
39,"A",228.6,2
40,"A",121.92,2
41,"A",167.64,0
42,"A",137.16,0
43,"A",152.4,0
44,"A",152.4,0
45,"A",198.12,2
46,"A",243.84,2
47,"A",213.36,0
48,"A",152.4,2
49,"A",213.36,2
50,"A",76.2,0
51,"A",167.64,0
52,"A",152.4,0
53,"A",213.36,2
54,"A",198.12,2
55,"A",137.16,0
56,"A",137.16,0
57,"A",167.64,0
58,"A",129.54,0
59,"A",182.88,0
60,"A",167.64,0
61,"A",121.92,0
62,"A",91.44,0
63,"A",91.44,0
64,"A",83.82,0
65,"A",76.2,0
66,"A",76.2,0
67,"A",73.152,0
68,"A",91.44,0
69,"A",121.92,0
70,"A",144.78,1
71,"A",121.92,1
72,"A",167.64,1
73,"A",121.92,1
74,"A",160.02,2
75,"A",106.68,0
76,"A",137.16,2
77,"A",152.4,2
78,"A",213.36,2
79,"A",121.92,0
80,"A",213.36,2
81,"A",91.44,0
82,"A",106.68,0
83,"A",68.58,0
84,"A",60.96,0
85,"A",76.2,0
86,"A",76.2,0
87,"A",76.2,0
88,"A",60.96,0
89,"A",60.96,0
90,"A",60.96,0
91,"A",68.58,0
92,"A",60.96,0
93,"A",53.34,0
94,"A",45.72,0
95,"A",45.72,0
96,"A",45.72,0
97,"A",45.72,0
98,"A",60.96,0
99,"A",60.96,0
100,"A",137.16,2
101,"A",121.92,0
102,"A",91.44,0
103,"A",167.64,0
104,"A",121.92,0
105,"A",106.68,0
106,"A",60.96,0
107,"A",76.2,0
108,"A",106.68,0
109,"A",30.48,0
110,"A",30.48,0
111,"A",30.48,0
112,"A",15.24,0
113,"A",15.24,0
114,"A",15.24,0
115,"A",15.24,0
116,"A",30.48,0
117,"A",30.48,0
118,"A",30.48,0
119,"A",30.48,0
120,"A",30.48,0
121,"A",15.24,0
122,"A",152.4,1
123,"A",152.4,1
124,"A",182.88,1
125,"A",182.88,1
126,"A",198.12,1
127,"A",198.12,1
128,"A",228.6,1
129,"A",304.8,1
130,"A",243.84,1
131,"A",213.36,1
132,"A",205.74,1
133,"A",259.08,1
134,"A",213.36,1
135,"A",243.84,1
136,"A",228.6,1
137,"A",198.12,0
138,"A",182.88,1
139,"A",213.36,0
140,"A",213.36,1
141,"A",289.56,1
142,"A",243.84,1
143,"A",259.08,1
144,"A",243.84,1
145,"A",289.56,1
146,"A",259.08,1
147,"A",152.4,0
148,"A",213.36,1
149,"A",228.6,1
150,"A",137.16,0
151,"A",76.2,0
152,"A",213.36,2
153,"A",198.12,2
154,"A",91.44,0
155,"A",60.96,0
156,"A",121.92,0
157,"A",152.4,0
158,"A",68.58,0
159,"A",152.4,0
160,"A",60.96,0
161,"A",38.1,0
165,"A",243.84,1
166,"A",182.88,1
169,"A",160.02,0
170,"A",60.96,0
171,"A",137.16,0
172,"A",22.86,0
173,"A",60.96,0
174,"A",198.12,0
176,"A",152.4,0
177,"A",228.6,1
178,"A",198.12,2
179,"A",152.4,2
199,"A",60.96,0
201,"A",60.96,0
202,"A",53.34,0
203,"A",68.58,0
204,"A",60.96,0
205,"A",7.62,0
206,"A",15.24,0
207,"A",15.24,0
208,"A",15.24,0
209,"A",15.24,0
210,"A",15.24,0
211,"A",7.62,0
212,"A",7.62,0
213,"A",7.62,0
214,"A",76.2,0
216,"A",53.34,0
217,"A",152.4,0
218,"A",167.64,0
219,"A",15.24,0
220,"A",45.72,0
221,"A",7.62,0
222,"A",7.62,0
223,"A",15.24,0
224,"A",15.24,0
301,"E",152.4,2
302,"E",198.12,2
303,"E",198.12,2
304,"E",167.64,2
305,"E",106.68,0
306,"E",106.68,0
307,"E",137.16,0
308,"E",182.88,1
309,"E",,
310,"E",121.92,2
311,"E",167.64,1
314,"E",137.16,2
315,"E",121.92,0
316,"E",137.16,1
317,"E",167.64,2
318,"E",137.16,0
319,"E",167.64,0
320,"E",137.16,2
321,"E",106.68,0
322,"E",137.16,2
324,"E",106.68,2
325,"E",152.4,2
326,"E",182.88,2
327,"E",198.12,2
328,"E",152.4,2
